compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status,year_clean,Edward Score V22,Rationale V22,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V22,P1 Rationale V22,P2 Prob V22,P2 Rationale V22,P3 Prob V22,P3 Rationale V22,TCSP V22,salah_verdict,biological_risk
Fluoxetine,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1987,,,approved,CNS,,approved_control,Approved controls (success),CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,3386,OK,1987.0,14,"This molecule is a paradox of 'Old School' CNS chemistry. Structurally, it is a textbook Cationic Amphiphilic Drug (CAD) with a cLogP pushing 4.5 and a basic pKa ~9.5. This profile guarantees massive Volume of Distribution (Vd) and lysosomal trapping (Phospholipidosis risk), but the remarkably low TPSA (<25 Å²) ensures unhindered BBB penetration. In a blind audit, the combination of a basic amine, a flexible linker, and a lipophilic 'dumb-bell' (CF3-phenoxy) would trigger an immediate 'Hard Kill' for hERG liability (QT prolongation risk). However, the Bio-Advisory confirms 'Elite' status and absolute clinical validation, implying that the on-target potency (SERT) is sufficient to drive efficacy at a low dose (20-60mg), thereby maintaining a safety margin against the structural hERG liability. The N-methyl group is a metabolic handle that will rapidly demethylate to the primary amine, which likely retains pharmacological activity (Active Metabolite). While chemically 'greasy' and lacking modern LipE optimization, the clinical data overrides the in silico alerts. Tox Summary: Clean (at low dose).",Medium,"Secondary Amine/Lipophilic Tail (hERG Pharmacophore), Unsubstituted Phenyl (Metabolic Soft Spot)",0.92,Bio-Advisory confirms safety. The hERG risk is mitigated by the low clinical dose ceiling (<60mg).,0.88,Target engagement is validated. High lipophilicity and low TPSA ensure CNS exposure.,0.85,Chronic safety is established. DDI potential (CYP2D6) is the only lingering commercial friction.,0.69,ELITE,"You have presented Fluoxetine (Prozac). From a systems biology perspective, the target (SERT) is the antithesis of a graveyard; it is the bedrock of modern neuropsychiatry. Clinical validation is absolute. The dose range (20-60mg) is biologically elegant, sitting well below the >100mg threshold where idiosyncratic DILI and metabolic saturation typically manifest. While CYP2D6 inhibition presents a DDI liability, it is not a program-killer. There is zero biological ambiguity here."
Sertraline,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1991,,,approved,CNS,,approved_control,Approved controls (success),CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,VGKDLMBJGBXTGI-SJCJKPOMSA-N,68617,OK,1991.0,38,"While the Bio-Advisory touts the target's 'Elite' status, the chemical execution relies on a brute-force 'Grease' strategy. The molecule is a classic Cationic Amphiphilic Drug (CAD) with a cLogP > 5.0 and a basic amine (pKa ~9.5). This specific combination creates a high-risk pharmacophore for both hERG inhibition (QT prolongation) and Phospholipidosis. The MW (306) is the saving grace, providing excellent Ligand Efficiency (LE) and ensuring BBB penetration despite the high lipophilicity. However, the 'Rule of Two' (High LogP + High Dose) is triggered here, validating the Bio-Advisory's concern regarding idiosyncratic DILI. This is a functional CNS penetrant, but it lacks the physicochemical elegance of a modern optimized lead; it forces affinity through hydrophobicity rather than specific polar vectors. Tox Summary: Not Clean (hERG/DILI risks).",Medium,"3,4-Dichlorophenyl moiety (Lipophilicity driver), Secondary amine on cycloalkyl ring (CAD/hERG pharmacophore).",0.75,"High lipophilicity and CAD nature introduce hERG and QT risks, but low MW and rigid scaffold suggest manageable safety margins.",0.85,"Bio-Advisory confirms the target (SERT) is the 'bedrock' of the indication. If the molecule achieves exposure (which the high LogP ensures), efficacy is highly probable.",0.4,The combination of high daily dose (50-200mg) and high cLogP creates a significant DILI liability for chronic administration. Commercial viability depends on the therapeutic window vs. liver signals.,0.255,ELITE,"The target (SERT/SLC6A4) is the antithesis of a graveyard; it is the bedrock of modern neuropsychiatry. Unlike the catastrophic failures of BACE1 or the suicide risks of CB1 inverse agonists, this mechanism is clinically de-risked. The molecule is Sertraline. While the daily dose requirement (50-200mg) is biologically heavy and pushes the liver's metabolic capacity—introducing a non-zero risk of idiosyncratic DILI—the therapeutic window is historically proven. Biological feasibility is absolute."
Paroxetine,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1992,,,approved,CNS,,approved_control,Approved controls (success),C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,AHOUBRCZNHFOSL-YOEHRIQHSA-N,43815,OK,1992.0,74,"Physicochemically, this scaffold is a CNS masterpiece. With a MW ~330, cLogP ~3.5, and a basic piperidine nitrogen, it sits perfectly in the 'Goldilocks' zone for blood-brain barrier penetration and high Lipophilic Efficiency (LipE). The fluorophenyl group provides metabolic armor at the para-position. HOWEVER, the inclusion of the 1,3-benzodioxole moiety is a non-negotiable MedChem violation in a modern NCE context. This motif is a textbook 'Suicide Inhibitor' (Mechanism-Based Inhibitor) of CYP2D6, forming a carbene intermediate that irreversibly complexes with the heme iron. While Salah argues that the low dose (<50mg) mitigates the intrinsic DILI risk, the presence of an MBI guarantees non-linear pharmacokinetics and a 'dirty' drug-drug interaction (DDI) profile. A modern chemist would immediately swap this for a difluorobenzodioxole or dihydrobenzofuran to retain potency without the metabolic suicide. The score is heavily penalized by the 'Hard Kill' MBI rule, despite the Elite biological validation. Tox Summary: Not Clean (MBI Liability).",Low (Mechanism-Based Inhibition),"1,3-Benzodioxole (CYP2D6 Suicide Inhibitor/Carbene formation)",0.85,Acute safety is likely acceptable; MBI liabilities typically manifest as DDI/chronic accumulation rather than acute Phase 1 toxicity. Low dose helps.,0.65,Target validation (SERT) is absolute. Brain penetration is structurally assured. Efficacy is highly probable.,0.35,"Commercial viability is threatened by the 'dirty' label. In a crowded SSRI market, a drug with significant DDI warnings and non-linear PK faces a steep commercial penalty compared to cleaner competitors.",0.19,ELITE,"The Serotonin Transporter (SERT) is the antithesis of a 'graveyard' target; it is the clinically validated bedrock of neuropsychiatry. Unlike the catastrophic failures of BACE1 or the unmanageable suicide risks of CB1 inverse agonists, SERT inhibition yields predictable efficacy with a well-understood safety profile. The molecule (Paroxetine) possesses sufficient potency to enable a low clinical dose (<50mg), keeping the total hepatic burden well below the 'danger zone' for intrinsic DILI. While the benzodioxole moiety introduces a significant CYP2D6 mechanism-based inhibition (MBI) liability—guaranteeing messy, non-linear pharmacokinetics and drug-drug interactions—the fundamental biological hypothesis is sound and the liver will survive the dose."
Citalopram,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1998,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-UHFFFAOYSA-N,2771,OK,1998.0,12,"This structure is a masterclass in CNS physicochemical design. With a MW ~324 and TPSA ~36, it is a 'CNS Bullet' optimized for rapid and high-fraction BBB penetration. The use of a para-fluoro substituent on the pendant phenyl ring is a textbook medicinal chemistry tactic to block metabolic oxidation at the most vulnerable site, forcing clearance through the more predictable N-demethylation route. However, the structural audit reveals one significant liability: the basic dimethylamine tethered by a 3-carbon linker to a lipophilic, aromatic core constitutes a canonical hERG pharmacophore. While the Bio-Advisory emphasizes a low clinical dose (which likely provides the necessary safety margin), the intrinsic potential for QT prolongation is structurally encoded and undeniable. The nitrile group is robust and unlikely to cause idiosyncratic toxicity. Tox Summary: Clean, with a specific hERG watch.",Medium,Basic amine-propyl-aromatic motif (hERG Pharmacophore),0.9,"Physicochemical properties are ideal for oral bioavailability and safety. hERG is the only red flag, but likely manageable at projected low doses.",0.75,High CNS MPO score suggests excellent target engagement in the brain. Efficacy risk is minimized by the validated mechanism.,0.6,Clean metabolic profile and lack of structural alerts for idiosyncratic toxicity (DILI) suggest high probability of chronic safety success.,0.85,ELITE,"This molecule is Citalopram (or its enantiomer Escitalopram). The biological feasibility is absolute because it is a marketed drug. The target (SERT) is fully validated with no mechanism-based toxicity that leads to attrition. Crucially, the clinical dose is low (20-40mg), keeping the total hepatic burden well below the danger zone for idiosyncratic DILI. The only biological liability is structural, not mechanistic: this specific scaffold carries a risk of QT prolongation (hERG inhibition) at higher doses, but this is a manageable clinical parameter, not a development terminator."
Fluvoxamine,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1994,,,approved,CNS,,approved_control,Approved controls (success),COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,CJOFXWAVKWHTFT-XSFVSMFZSA-N,5324346,OK,1994.0,78,"This structure is a deceptive relic. On the surface, the physicochemical metrics (MW ~318, cLogP ~3.0) appear ideal for CNS penetration, earning it 'Developability Credit'. However, the architecture is primitive: a flexible, entropy-penalized 'greasy noodle' (methoxybutyl chain) tethered to a pharmacophore via an oxime ether. This lack of rigidity likely necessitates the absurd 300mg dose to force target occupancy, indicating abysmal Lipophilic Efficiency (LipE). Structurally, the oxime ether moiety adjacent to a primary amine is a red flag for CYP heme coordination, providing a clear mechanistic basis for the 'metabolic bully' profile (CYP1A2/2C19 inhibition) noted in the advisory. A 300mg chronic dose combined with moderate lipophilicity and DDI liability triggers a high-risk DILI alert (Rule of Two). In a modern pipeline, this molecule is killed for low potency and promiscuity before it ever sees a human. Tox Summary: Not Clean.",Low,"Oxime ether (CYP Heme Coordination), Primary aliphatic amine (MAO/Oxidative deamination liability), Flexible alkyl chain (Metabolic soft spot).",0.55,"Passable acute safety, but the DDI profile and high dose requirement will complicate dose-escalation and safety margins.",0.45,"Target engagement is likely given the lipophilic pharmacophore, but high attrition risk due to tolerability/side-effects arising from the 'dirty' profile.",0.1,"Commercial viability is near zero. A 300mg daily pill with severe dietary/drug restrictions cannot compete with cleaner, low-dose SSRIs.",0.025,CAUTION,"The target (SERT) is clinically validated and far from a graveyard; however, the molecule (Fluvoxamine) represents a 'dirty' approach to a clean mechanism. The clinical dose requirement is massive (up to 300mg/day), violating the <100mg safety threshold for minimizing idiosyncratic DILI risk. Furthermore, this specific scaffold is a notorious metabolic bully—a potent inhibitor of CYP1A2 and CYP2C19. In a modern clinical development landscape, a candidate with this high dose burden and severe Drug-Drug Interaction (DDI) liability would struggle against cleaner competitors (e.g., Escitalopram). Biological feasibility is certain, but clinical manageability is poor."
Venlafaxine,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,1993,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,PNVNVHUZROJLTJ-UHFFFAOYSA-N,5656,OK,1993.0,12,"This scaffold is a masterclass in CNS physicochemical properties (CNS MPO). With a MW < 300 and TPSA ~32, this molecule is effectively a 'ghost' to the Blood-Brain Barrier—it will penetrate with near-perfect efficiency. The tertiary amine provides the necessary cationic interaction for the monoamine transporter without the penalty of excessive basicity or molecular weight bloat. It is the definition of 'High Ligand Efficiency'. However, chemically, it is a metabolic sponge. The electron-rich methoxy-phenyl and the N,N-dimethyl tail are screaming for CYP2D6 and CYP3A4 demethylation. This aligns perfectly with the Bio-Advisory's note on the high clinical dose (75-225mg)—you are dosing high to saturate clearance or, more likely, relying on a downstream active metabolite (the phenol). While the 'Grease Tax' is low, the 'Metabolic Tax' is high. Yet, the absence of structural toxicophores (anilines, hydrazines, Michael acceptors) renders this a 'Safe Sponge'. If the liver tolerates the burden, the efficacy is mathematically inevitable.",Low,None (Clean). High clearance risk via O-demethylation and N-demethylation.,0.92,Structure is devoid of hard tox alerts. MW is tiny. Safety margins should be massive unless off-target pharmacology interferes.,0.75,CNS penetration is guaranteed by PhysChem. Target is validated. Main risk is PK variability (CYP polymorphism) affecting dosing.,0.6,"Chronic safety looks promising due to simple scaffold, though high dose burden on liver is a watch-item.",0.41,ELITE,"The structure is Venlafaxine. You have presented a marketed, blockbuster drug. The biological feasibility is absolute; the SNRI mechanism is the standard of care for depression and anxiety. Unlike the graveyards of BACE1 or CB1, this target engages a validated physiological lever. While the clinical dose is high (75-225mg/day)—violating my preference for low-dose potency and imposing a metabolic burden on the liver—history proves the liver can tolerate this specific scaffold. The only biological liabilities are on-target (noradrenergic hypertension) and pharmacokinetic (CYP2D6 polymorphism dependency), neither of which are fatal to the asset."
Bupropion,,NDRI,NET and Dopamine Transporter (DAT),Depression,Approved,1985,,,approved,CNS,,approved_control,Approved controls (success),CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,SNPPWIUOZRMYNY-UHFFFAOYSA-N,444,OK,1985.0,78,"This molecule represents a medicinal chemistry strategy from the 1970s, not the 2020s. While the physicochemical properties (MW ~240, cLogP ~3.5) theoretically favor CNS penetration, the molecule is essentially a 'fragment' masquerading as a drug. The low molecular weight implies a lack of specific binding interactions, necessitating the 'massive clinical dose burden' flagged in the bio-advisory to achieve occupancy. This triggers a fatal 'Rule of Two' violation: High Dose (>100mg) + Lipophilicity (cLogP >3) = High DILI Risk. Structurally, the alpha-aminoketone core is chemically labile (prone to reduction and enolization) and structurally related to known convulsants (cathinones), explaining the seizure liability. You are flooding the liver and brain with a high-energy reactive scaffold to force efficacy. Modern MedChem demands potency <10nM to keep daily doses <10mg; this molecule fails that fundamental efficiency test. Tox Summary: Not Clean (Seizure risk, DILI potential via Rule of Two).",Low,"Alpha-aminoketone core (reactive/reducible), t-Butyl amine (oxidative N-dealkylation liability), Chlorophenyl moiety (potential quinone methide risk if metabolized at para-position, though blocked here, meta-Cl directs metabolism elsewhere).",0.55,"High risk of CNS adverse events (seizures, anxiety) in healthy volunteers during dose escalation. The high dose requirement leaves a non-existent safety margin.",0.4,"Target engagement is likely, but the therapeutic window will be defined by tolerability (seizures) rather than efficacy. High dropout rates expected.",0.2,"Commercial viability is threatened by the twice-daily or TID dosing required due to rapid metabolism, and the black-box warning potential for seizures.",0.044,CAUTION,"The target (NDRI) is clinically validated, sparing it the 'graveyard' status of BACE1 or CETP. However, this specific aminoketone scaffold (Bupropion-like) is biologically inefficient. It suffers from low intrinsic potency, necessitating a massive clinical dose burden (>150-300mg/day). This violates the low-dose directive. Such a high xenobiotic load saturates hepatic clearance (specifically CYP2B6) and leads to the accumulation of complex active metabolites. The critical biological liability is the dose-dependent reduction in seizure threshold, creating a narrow safety margin. While effective, it is a 'blunt instrument' that forces the liver and CNS to tolerate high exposure levels."
Mirtazapine,,NaSSA,_2_-adrenergic and 5-HT2A/2C/3 receptors,Depression,Approved,1996,,,approved,CNS,,approved_control,Approved controls (success),CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,RONZAEMNMFQXRA-UHFFFAOYSA-N,4205,OK,1996.0,3,"This molecule is a masterclass in CNS physicochemical design. With a Molecular Weight of ~265 Da, it sits on the border of fragment space yet possesses the complexity of a fully potent drug, implying exceptional Ligand Efficiency (LE). The rigid tetracyclic framework (pyrazino-pyrido-azepine) pre-organizes the pharmacophore, minimizing the entropic penalty of binding—a superior strategy to the 'floppy chain' linkers seen in lesser compounds. 

Physicochemical properties are optimal for blood-brain barrier penetration: cLogP is in the Goldilocks zone (~3.0), TPSA is extremely low (< 25 Å²), and HBD count is zero. The basic piperazine nitrogen (pKa ~8) ensures solubility without compromising permeability. 

Structurally, the scaffold is devoid of 'hard kill' alerts. There are no Michael acceptors, anilines, or obvious suicide inhibition motifs. Metabolic clearance will likely be driven by N-demethylation and aromatic hydroxylation, but the low dose burden (implied by high efficiency) mitigates DILI risks (Rule of Two is not triggered). While the basic amine suggests a theoretical hERG watch-out, the low MW and rigid geometry often provide a sufficient safety margin compared to greasier, flexible analogs. 

Tox Summary: Clean.",Medium,None. Standard N-methyl and aromatic oxidation sites only.,0.92,Stellar physicochemical profile. No structural alerts. Low MW reduces off-target toxicity risks significantly.,0.85,High CNS penetration is guaranteed by the properties. Bio-advisory confirms the mechanism is validated. The molecule will get to the target.,0.75,"Clean safety profile expected. Side effects (sedation) are mechanism-based, not off-target tox. Commercial viability is high due to distinct MOA.",9.5,ELITE,"This structure corresponds to Mirtazapine, a tetracyclic antidepressant. The NaSSA mechanism (Alpha-2 adrenergic antagonism combined with 5-HT2/5-HT3 blockade) is clinically validated and distinct from the SSRI/SNRI 'me-too' crowd. Unlike the graveyard of novel CNS targets (e.g., BACE1, NK1 antagonists), this mechanism has a proven track record of efficacy. The dose burden is moderate (typically 15-45mg), well below the >100mg threshold that triggers my DILI alarm bells. While H1-mediated sedation and metabolic liability (weight gain) are biological realities of this scaffold, they are manageable clinical features, not safety termination signals. The liver is safe; the patient will just sleep and eat."
Trazodone,,Serotonin antagonist/reuptake inhibitor,5-HT2A receptor and SERT,Depression,Approved,1981,,,approved,CNS,,approved_control,Approved controls (success),C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,PHLBKPHSAVXXEF-UHFFFAOYSA-N,5533,OK,1981.0,82,"This structure represents 'Shotgun Medicinal Chemistry' at its finest. While the physicochemical properties (MW < 400, cLogP ~3, TPSA ~50) theoretically fit the CNS MPO profile, the structural topology is a minefield. 

1. **The Promiscuity Trap**: The 3-chlorophenylpiperazine moiety is a 'privileged structure' in the worst sense—it is a promiscuous warhead that will bind indiscriminately to 5-HT, Alpha-1, and H1 receptors. This guarantees the 'dirty' side-effect profile (hypotension, sedation) flagged in the advisory.

2. **hERG Liability**: The molecule features a classic hERG pharmacophore: a basic nitrogen center connected by a 3-carbon flexible linker to a lipophilic aromatic anchor. This is a structural alert for QT prolongation.

3. **Metabolic & DILI Risk**: The flexible propyl linker is a prime site for oxidative N-dealkylation, releasing the bioactive and anxiogenic fragment 1-(3-chlorophenyl)piperazine (mCPP). Furthermore, the requirement for massive dosing (150-600mg) combined with a lipophilic, electron-rich aromatic system pushes this squarely into the 'Rule of Two' danger zone for idiosyncratic hepatotoxicity (DILI). 

This is not a scalpel; it is a blunt instrument with a high toxicological tax. Tox Summary: NOT CLEAN.",Low,"1-(3-chlorophenyl)piperazine (mCPP), Quinone-imine precursors (via aromatic hydroxylation)",0.4,"High risk of cardiovascular safety signals (orthostatic hypotension via Alpha-1, QT prolongation via hERG) and sedation limits dose escalation.",0.3,"Efficacy is likely due to polypharmacology, but the therapeutic window will be narrow due to the 'dirty' receptor profile and tolerability issues.",0.1,"Commercial viability is severely hampered by the high pill burden, twice-daily dosing requirements, and the looming shadow of idiosyncratic liver toxicity compared to cleaner SSRIs.",0.12,CAUTION,"This molecule is Trazodone. While the SARI mechanism (5-HT2A antagonism + SERT inhibition) is clinically validated for depression and insomnia, the biological cost is high. 1) Polypharmacology: The mechanism is inherently 'dirty,' with significant off-target affinity for Alpha-1 adrenergic (orthostatic hypotension, priapism) and H1 histamine receptors (sedation). 2) Dose Burden: Effective antidepressant efficacy requires massive daily doses (150-600mg). This high body burden, combined with the phenylpiperazine structural motif, creates a significant metabolic load. 3) Hepatotoxicity Shadow: This chemical class is stained by Nefazodone (withdrawn/black-boxed for liver failure). While Trazodone is safer, the formation of reactive quinone-imine metabolites and active metabolites (mCPP) presents a non-zero idiosyncratic DILI risk. It is a sledgehammer, not a scalpel."
Amitriptyline,,TCA,SERT and NET,Depression,Approved,1961,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,KRMDCWKBEZIMAB-UHFFFAOYSA-N,2160,OK,1961.0,96,"This scaffold represents the antithesis of modern CNS design. While the low MW (277) and TPSA (< 5) guarantee blood-brain barrier penetration, they come at the cost of extreme lipophilicity (cLogP ~4.9) and non-specific binding. The structure features a 'Lipophilic Cation' motif—a basic amine (pKa ~9.4) tethered to a massive hydrophobic tricyclic anchor. This is the exact pharmacophore for hERG potassium channel blockade and voltage-gated sodium channel inhibition, validating the Bio-Advisory's warning of lethal cardiotoxicity in overdose. Furthermore, the lack of specific hydrogen-bonding vectors implies a 'dirty' profile with high affinity for off-target GPCRs (H1, M1, α1), leading to an unacceptable side-effect burden. Relying on hydrophobic collapse for potency rather than specific interactions results in poor LipE. With the imposed 45-point penalty for historical stigma and the inherent structural liabilities, this candidate is non-developable. Tox Summary: Not Clean (High hERG/NaV/Promiscuity Risk).",Low,"Tricyclic lipophilic cation (hERG/NaV pharmacophore), Exocyclic alkene (potential metabolic epoxidation/activation).",0.1,High risk of QT prolongation and anticholinergic adverse events at therapeutic doses. Safety margins will be non-existent.,0.05,"While efficacy is mechanistically plausible, the therapeutic index is too narrow to compete with SSRIs/SNRIs. Drop-out rates due to sedation/dry mouth will be high.",0.01,Regulatory approval is highly unlikely for a non-life-threatening indication with such a severe overdose lethality profile.,0.1,TERMINATE,"This molecule is Amitriptyline. While the primary mechanism (SNRI) is validated, the biological profile is a relic of 'dirty' pharmacology. The scaffold is promiscuous, hitting H1 (sedation), M1 (cognitive decline/anticholinergic load), and Alpha-1 (orthostasis) with high affinity. The fatal flaw is the Sodium Channel blockade liability: this drug is lethal in overdose due to cardiotoxicity (QT prolongation/arrhythmia). Developing a depression treatment that acts as a suicide weapon in overdose is clinically negligent in the modern era of SSRIs. The dose requirement (often >100mg) guarantees a narrow therapeutic index and high hepatic burden."
