compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status,year_clean,Edward Score V22,Rationale V22,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V22,P1 Rationale V22,P2 Prob V22,P2 Rationale V22,P3 Prob V22,P3 Rationale V22,TCSP V22,salah_verdict,biological_risk
Escitalopram,,SSRI,Serotonin Transporter (SERT),Depression,Approved,2002,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-FQEVSTJZSA-N,146570,OK,2002.0,3,"This structure is a masterclass in CNS drug design, exemplifying the 'Goldilocks' zone of medicinal chemistry. With a MW of ~324 and a TPSA of ~36 Å², it possesses near-perfect physicochemical properties for blood-brain barrier penetration without relying on excessive lipophilicity (The 'Grease Tax'). The dihydroisobenzofuran core is a brilliant rigidification strategy, locking the pharmacophore into a bioactive conformation and reducing the entropic cost of binding compared to flexible diphenylmethane analogs. The para-fluorine substitution on the pendant phenyl ring is a textbook metabolic block, shielding the most vulnerable site from P450 oxidation and likely extending half-life. 

Critically, the structure contains a classic hERG pharmacophore (basic amine linked by a 3-carbon spacer to a hydrophobic aromatic cluster), which would normally trigger a 'Hard Kill' score >70. However, the Bio-Advisory's confirmation of an exceptionally low clinical dose (10-20 mg) and specific enantiomeric selection effectively mitigates this structural liability. In toxicology, the dose makes the poison; at this potency, the safety margin is substantial. The nitrile group adds polarity and metabolic stability without introducing hydrogen bond donors. This is elite medicinal chemistry. Tox Summary: Clean (Risk mitigated by low dose).",High,"Basic amine-propyl-aromatic motif (hERG pharmacophore - mitigated by dose), Nitrile (low risk)",0.92,Bio-advisory confirms removal of QT liability inherent to the racemate. Low dose (10-20mg) minimizes off-target saturation.,0.85,Target (SERT) is fully validated. High potency and ideal CNS distribution (LogD ~2.0) ensure target engagement.,0.75,Chronic safety profile is bolstered by the low daily burden on hepatic clearance and lack of idiosyncratic toxicophores.,0.58,ELITE,"The target (SERT) is the bedrock of modern neuropsychiatry; it is fully validated with no 'graveyard' stigma. The molecule corresponds to Escitalopram, the S-enantiomer of Citalopram, which removes the antihistaminic and QT-prolonging liability of the R-enantiomer to a significant degree. The clinical dose is exceptionally low (10-20 mg), placing negligible stress on hepatic clearance mechanisms and virtually eliminating dose-dependent DILI risk. This is the gold standard for biological feasibility."
Desvenlafaxine,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2008,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,KYYIDSXMWOZKMP-UHFFFAOYSA-N,125017,OK,2008.0,12,"This NCE is a masterclass in 'Minimalist Medicinal Chemistry.' With a MW ~263 and TPSA ~43, it sits in the absolute sweet spot for CNS penetration, avoiding the 'Brick' and 'Grease' traps common in neuro-active discovery. The structural strategy of incorporating a phenolic hydroxyl is chemically brilliant: it lowers cLogP to the CNS ideal (~1.0-1.5) while serving as a 'Metabolic Shunt' towards high-capacity Phase II glucuronidation (UGTs). This aligns perfectly with the Bio-Advisory, confirming the bypass of oxidative CYP polymorphisms (specifically CYP2D6) that plague lipophilic parents. The tertiary aliphatic amine provides the necessary pKa for receptor engagement, while the cyclohexanol scaffold maintains Fsp3 character to prevent flat-molecule insolubility. While the basic amine/aromatic linkage carries a theoretical hERG pharmacophore, the low lipophilicity and small size significantly mitigate this risk compared to greasier analogs. The only liabilities are on-target (adrenergic hypertension), not structural. Tox Summary: Clean.",High,None (Theoretical quinone methide formation via benzylic oxidation is mitigated by rapid phenolic glucuronidation),0.92,Pristine physicochemical profile and predictable Phase II clearance suggest minimal safety attrition in Phase 1.,0.75,Validated mechanism (SNRI) combined with superior exposure consistency (metabolic bypass) maximizes probability of efficacy.,0.65,Commercial viability is high due to differentiation from parent drugs via improved metabolic consistency; safety profile is well-understood.,0.95,ELITE,"This is Desvenlafaxine (O-desmethylvenlafaxine). You are presenting the active metabolite of Venlafaxine. From a systems biology and clinical pharmacology perspective, this is a superior strategy to the parent drug. By administering the metabolite directly, you bypass the CYP2D6 genetic polymorphism bottleneck that plagues Venlafaxine, ensuring consistent exposure across poor and extensive metabolizers. The phenolic hydroxyl directs clearance via Phase II glucuronidation—a high-capacity, low-toxicity pathway that spares the liver's oxidative machinery. While the SNRI mechanism carries class-wide liabilities (hypertension, discontinuation syndrome), the biological feasibility is absolute. It is a validated mechanism with an optimized metabolic profile."
Duloxetine,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2004,,,approved,CNS,,approved_control,Approved controls (success),CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,ZEUITGRIYCTCEM-KRWDZBQOSA-N,60835,OK,2004.0,62,"This molecule represents a 'brute force' approach to CNS drug discovery: high lipophilicity (cLogP ~4.7) packed into a small molecular weight (<300 Da). While the low TPSA (~20 Å²) and basic amine ensure rapid BBB penetration, the scaffold relies entirely on hydrophobic interactions (Naphthalene + Thiophene) for potency, resulting in poor Lipophilic Efficiency (LipE). The Bio-Advisory is chemically sound; the Thiophene moiety is a distinct metabolic liability. In the liver, this ring is prone to CYP450-mediated bioactivation (S-oxidation and epoxidation), generating reactive electrophiles capable of covalent binding and idiosyncratic hepatotoxicity (DILI). Additionally, the Naphthalene ring adds a heavy 'Grease Tax' and risks arene oxide formation. While the small size grants it 'Developability Credit', the structural alerts suggest high clearance and a narrow safety margin. In a modern campaign, we would aggressively replace the Thiophene with a metabolically silent isostere and deprioritize the Naphthalene to lower LogP. Tox Summary: Not Clean (Thiophene bioactivation/DILI risk).",Low,"Thiophene (S-oxidation/Epoxidation), Naphthalene (Arene oxides)",0.7,"Passable due to low MW and solubility, but high lipophilicity suggests high clearance. Idiosyncratic tox may not manifest in small cohorts.",0.5,Target is validated and brain exposure is guaranteed by physicochemical properties (Low TPSA/MW). Efficacy is probable if half-life permits.,0.2,"The Thiophene-mediated bioactivation creates a high risk of idiosyncratic liver injury in broad populations, severely compromising chronic safety profiles.",0.07,CAUTION,"The target (SNRI) is clinically validated and far from a graveyard; efficacy in depression and neuropathic pain is established. However, this specific scaffold (Duloxetine) carries a distinct biological liability: the thiophene moiety. Thiophenes are structural alerts for metabolic bioactivation (formation of reactive S-oxides or epoxides), which correlates with the known idiosyncratic hepatotoxicity and transaminase elevations seen in the clinic. While the dose (~60mg) is moderate, the requirement for extensive CYP1A2 and CYP2D6 metabolism creates significant DDI variability. It is a successful drug, but biologically 'dirty' regarding liver safety compared to cleaner transporter inhibitors."
Levomilnacipran,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),CCN(CC)C(=O)[C@]1(C[C@H]1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-DZGCQCFKSA-N,6917779,OK,2013.0,12,"This structure is a masterclass in Ligand Efficiency (LE). With a MW < 250, it achieves specific CNS target engagement while maintaining a 'Fragment-Like' profile, a rarity in a field dominated by lipophilic bricks. The gem-disubstituted cyclopropane core is not merely a scaffold; it is a rigid, sp3-rich vector enforcer that locks the pharmacophores (phenyl ring and primary amine) into a precise bioactive conformation, minimizing the entropic penalty of binding. Chemically, the primary amine beta to the ring would typically flag for MAO-mediated clearance, but the steric crowding of the adjacent quaternary center (bearing the phenyl and amide) likely hinders enzymatic access, consistent with the 'Metabolic Stealth' advisory. Crucially, the low cLogP (~1.2) provides immunity against the 'Rule of Two' DILI risk. Even at high daily doses, the lack of lipophilicity prevents the accumulation of toxic metabolites in the liver, validating the renal excretion pathway. This is a 'Clean' drug by design—avoiding the CYP450 meat-grinder entirely. Tox Summary: Clean.",High,"Cyclopropane (Theoretical MBI risk, mitigated by substitution pattern and renal clearance path)",0.92,Physicochemical profile is pristine. Low cLogP and high solubility suggest excellent safety margins. Renal clearance bypasses hepatic liabilities.,0.75,Validated mechanism (SNRI) on a highly efficient scaffold. Target engagement is highly probable given the rigidified pharmacophore.,0.6,Chronic safety profile is superior to hepatic-heavy competitors. Commercial viability is strong due to the distinct lack of DILI risk.,0.41,ELITE,"This structure corresponds to Milnacipran, a validated SNRI. From a Systems Biology perspective, this molecule is an anomaly in the CNS space. While the daily dose burden is high (~100-200mg)—which typically triggers my 'High Dose = DILI' alarm—this scaffold possesses a 'metabolic stealth' profile. Unlike Duloxetine (which is a hepatic liability due to CYP dependence), this molecule relies primarily on glucuronidation and renal excretion, bypassing Phase I oxidative metabolism. This minimizes drug-drug interactions and hepatotoxicity. The clinical ceiling is defined purely by on-target noradrenergic effects (hypertension, urinary retention), not idiosyncratic organ failure. It is a biologically rational design for a chronic dosing regimen."
Milnacipran,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2009,,,approved,CNS,,approved_control,Approved controls (success),CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-HIFRSBDPSA-N,65833,OK,2009.0,4,"This structure is a masterclass in Ligand Efficiency and Minimalist MedChem. With a MW < 250 Da and a rigid cyclopropane core, it achieves CNS penetration through compact polarity rather than brute-force lipophilicity (The 'Grease Tax' is 0). The gem-disubstituted cyclopropane effectively locks the phenyl and amide vectors, minimizing the entropic penalty of binding without adding rotatable bonds. While primary amines can be metabolic liabilities (MAO/SSAO substrates), the steric crowding and specific vector likely shield it. The physicochemical profile (cLogP ~1.5, TPSA < 50) strongly supports the bio-advisory's claim of renal clearance, as the molecule lacks the lipophilic handle required for significant CYP binding. This bypasses the 'Rule of Two' DILI risk entirely. It is a rare 'Fragment-Like Drug' that balances potency with an exceptionally clean safety profile. Tox Summary: Clean.",High,"Cyclopropane core (Theoretical MBI risk, clinically low), Primary amine (MAO liability)",0.92,"Pristine physicochemical properties (MW<250, Low LogP) and lack of structural alerts suggest minimal toxicity. Renal clearance hypothesis removes hepatic safety bottlenecks.",0.65,"Validated mechanism (SNRI) combined with high free fraction and excellent bioavailability. The main risk is potency per mg given the small size, but efficiency is likely high.",0.45,Superior safety profile (no CYP interactions) provides a massive competitive advantage in the elderly/polypharmacy CNS market.,0.269,ELITE,"This structure corresponds to Milnacipran (or its active enantiomer Levomilnacipran). From a clinical pharmacology standpoint, this is a superior scaffold to many peers in the SNRI class (e.g., Duloxetine). The biological 'kill' switch for CNS drugs is often hepatic burden or CYP-mediated interactions. This molecule evades that trap: it is primarily eliminated renally and via glucuronidation, bypassing the CYP450 oxidative meat-grinder. This results in a negligible DILI risk profile and minimal drug-drug interactions—critical for the target demographic (often elderly or on polypharmacy). The mechanism (SERT/NET inhibition) is fully validated. High bioavailability (>85%) and low protein binding ensure the ~100mg daily dose burden is efficient, not toxic."
Vilazodone,,SSRI/5-HT1A partial agonist,SERT and 5-HT1A receptor,Depression,Approved,2011,,,approved,CNS,,approved_control,Approved controls (success),C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,SGEGOXDYSFKCPT-UHFFFAOYSA-N,6918314,OK,2011.0,82,"This molecule is a structural 'dumbbell' that violates nearly every modern CNS design principle. We have two aromatic systems separated by a highly flexible, lipophilic pentyl linker. 1) The 'Grease Tax' is exorbitant here; the C5 spacer adds significant cLogP and rotatable bonds without contributing specific polar interactions, acting merely as a 'greasy rope' to span protein cavities. 2) This specific topology (Basic Nitrogen + 5-Carbon Spacer + Lipophilic Indole Tail) is the textbook pharmacophore for hERG channel blockade. It is almost designed to trap itself in the potassium pore. 3) TPSA is >100 Å², which is a 'Stop' sign for blood-brain barrier penetration in high-quality CNS candidates. You are relying on brute-force potency to overcome poor Kp,uu. 4) The benzofuran-carboxamide moiety is flat and crystalline, likely leading to the solubility issues and 'food effect' noted in the bio-advisory. While the SPARI mechanism is validated, this chemical chassis is a liability. Tox Summary: Not Clean (High hERG risk).",Medium,"Pentyl alkyl chain (omega-oxidation soft spot), Indole (electron-rich oxidation), Basic Piperazine (hERG anchor).",0.25,High probability of QT prolongation due to perfect hERG pharmacophore mapping. Solubility-limited absorption will complicate PK linearity.,0.3,CNS penetration is the primary failure mode. High TPSA and P-gp liability means central receptor occupancy may be unachievable at tolerated doses.,0.1,"Even if efficacious, the GI tolerability profile (driven by local serotonin) and likely food requirements create a commercially unviable profile compared to cleaner SSRIs.",0.0075,CAUTION,"The target combination (SERT inhibition + 5-HT1A partial agonism) is biologically validated (the 'SPARI' mechanism). We are not dealing with a BACE1-style graveyard. However, the clinical reality of this scaffold (Vilazodone) is defined by peripheral toxicity, not central efficacy limits. The dose (20-40mg) is metabolically manageable for the liver, but the high local concentration of serotonin in the gut leads to severe GI intolerance (nausea/diarrhea), which acts as a functional dose-cap. Furthermore, the requirement for administration with food to achieve bioavailability indicates poor solubility/permeability dynamics that complicate patient compliance. It is a safe mechanism, but a messy clinical candidate."
Vortioxetine,,Multimodal serotonergic,"SERT, 5-HT1A/1B/3/7 receptors",Depression,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,YQNWZWMKLDQSAC-UHFFFAOYSA-N,9966051,OK,2013.0,12,"This NCE is a masterclass in 'Minimalist Medicinal Chemistry', prioritizing Ligand Efficiency over structural decoration. With a MW < 300 and cLogP ~3.0, it achieves a near-perfect CNS MPO score, ensuring blood-brain barrier penetration without paying the 'Grease Tax'. The central sulfide linker serves a dual purpose: it acts as a metabolic handle (predictable S-oxidation) and induces a non-planar twist between the aryl rings, which is often critical for breaking the planarity that leads to π-stacking toxicity or poor solubility. While N-aryl piperazines are historically 'dirty' scaffolds prone to GPCR promiscuity, the ultra-low molecular weight provides a massive 'Developability Credit'—allowing for high molar exposure at low milligram doses, effectively neutralizing the DILI risk associated with heavier, lipophilic CNS agents. The benzylic methyl groups and sulfide bridge will drive clearance, but these are 'soft' metabolic spots, not bioactivation triggers. The structure is devoid of 'Hard Kill' alerts (hERG pharmacophores, furans, or hydrazines). Tox Summary: Clean.",Medium,"None (Sulfide and benzylic methyls are clearance handles, not tox triggers)",0.9,Pristine physicochemical profile (MW<300) and lack of structural alerts suggest excellent safety margins. Low dose projection minimizes off-target tox risks.,0.65,High brain penetration probability (CNS MPO) combined with a validated multimodal mechanism maximizes chances of efficacy.,0.55,The combination of low daily dose burden (<20mg) and clean chemistry significantly reduces late-stage attrition risks (DILI/CV).,0.32,ELITE,"This molecule is structurally identical to Vortioxetine. The target class (Multimodal Serotonergic: SERT inhibition + 5-HT receptor modulation) is clinically validated and distinct from the attrition graveyards of BACE or CETP. The mechanism requires low clinical dosing (5-20 mg range), which keeps the total hepatic burden minimal and significantly reduces DILI risk compared to high-dose CNS agents. While phenylpiperazines are inherently promiscuous ('dirty' pharmacology), in the context of depression, this polypharmacology is required for efficacy. The primary clinical liability is tolerability (nausea via 5-HT3 agonism/antagonism), not organ toxicity."
Agomelatine,,Melatonin agonist,MT1/MT2 and 5-HT2C receptors,Depression,Approved,2009 (EU),,,approved,CNS,,approved_control,Approved controls (success),CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,YJYPHIXNFHFHND-UHFFFAOYSA-N,82148,OK,2009.0,80,"Physicochemically, this molecule is a seductive trap. The metrics are elite for CNS penetration: MW < 250, cLogP ~2.8, and TPSA ~40 Å², ensuring rapid blood-brain barrier crossing. However, the structural core represents a fatal medicinal chemistry error: the bioisosteric replacement of the endogenous indole (safe, electron-rich, H-bond donor) with a naphthalene ring (lipophilic, metabolic liability). This 'Naphthalene Swap' removes the NH handle required for safe Phase II conjugation and exposes the aromatic system to CYP1A2-mediated epoxidation, generating reactive arene oxides or quinones capable of covalent protein binding. While it mimics the endogenous ligand's vector enough for potency, the metabolic activation pathway creates an unacceptable risk of Idiosyncratic Drug-Induced Liver Injury (DILI). The Bio-Advisory confirms this theoretical risk is a clinical reality. This is a 'Biological Success' but a 'Chemical Failure'. Tox Summary: Not Clean (High DILI Risk).",Low,"Naphthalene core (Arene oxide formation/Bioactivation), Acetamide (Hydrolysis risk)",0.4,High risk of transaminase elevations in healthy volunteers due to first-pass generation of reactive naphthalene metabolites.,0.65,Target engagement is validated and CNS exposure is guaranteed by the physicochemical properties. Efficacy is likely.,0.05,Regulatory approval in major markets (US) is highly unlikely due to hepatotoxicity profile requiring black box warnings or leading to non-approval.,0.013,CAUTION,"This structure corresponds to Agomelatine. While the target (MT1/MT2 agonism + 5-HT2C antagonism) is biologically validated for depression and sleep disorders, the molecule carries a significant 'Black Box' liability: Hepatotoxicity. The replacement of the indole core (natural melatonin) with a naphthalene ring creates a metabolic liability. The drug undergoes extensive first-pass metabolism (CYP1A2), leading to idiosyncratic liver injury in a subset of patients. Consequently, it failed to gain FDA approval in the US and requires strict liver function monitoring in Europe. It is a biological success but a toxicological failure."
Selegiline,,MAO-B inhibitor,Monoamine Oxidase B (MAO-B),Parkinson/Depression,Approved,2006,,,approved,CNS,,approved_control,Approved controls (success),C[C@H](CC1=CC=CC=C1)N(C)CC#C,MEZLKOACVSPNER-GFCCVEGCSA-N,26757,OK,2006.0,12,"Physicochemically, this molecule is a 'Ghost'—MW < 200 and TPSA < 10 Å² ensure absolute, unrestricted BBB permeability. The propargyl amine functions as a high-efficiency 'suicide' warhead; while typically a 'Hard Kill' alert for CYP inhibition, its necessity for the validated MAO mechanism and the resulting catalytic dosing (<10mg) override the standard penalty. The Bio-Advisory confirms this low burden mitigates DILI. However, the scaffold is chemically 'lazy': metabolic N-dealkylation inevitably liberates a potent sympathomimetic (amphetamine-class), introducing intrinsic CNS noise (insomnia, jitteriness) that cannot be dialed out. It is a clinically elite sledgehammer, but the metabolic tail is dirty. Tox Summary: Manageable at micro-doses, but chemically promiscuous.",Low,"Propargyl amine (CYP/MAO Suicide Inactivator), Amphetamine backbone (Sympathomimetic metabolite)",0.85,Low total daily dose (<10mg) significantly reduces the safety margins required for the reactive warhead.,0.75,Target engagement is guaranteed by the covalent mechanism and flawless CNS exposure properties.,0.65,"Commercial viability is high due to efficacy, but the side-effect profile from active metabolites limits dominance against cleaner, reversible competitors.",0.95,ELITE,"The target, MAO-B, is a clinically validated mechanism for Parkinson's Disease, avoiding the 'graveyard' status of targets like BACE1. The irreversible 'suicide inhibitor' mechanism via the propargyl group allows for very low clinical dosing (<10mg/day), effectively eliminating the high-dose liver burden/DILI risk common in CNS programs. While this specific scaffold (Selegiline) metabolizes into L-amphetamine/methamphetamine—introducing sympathomimetic noise (insomnia, jitteriness)—the biological feasibility is proven, and the tyramine 'cheese effect' is absent at selective doses."
Esketamine,,NDMA antagonist,NMDA receptor,Depression,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),CN[C@@]1(CCCCC1=O)C2=CC=CC=C2Cl,YQEZLKZALYSWHR-ZDUSSCGKSA-N,182137,OK,2019.0,68,"From a strict physicochemical perspective, this molecule is a 'Brain Torpedo'. With MW < 250 and TPSA < 30, it possesses elite CNS penetration properties, virtually guaranteeing BBB crossing. However, this is not a sophisticated ligand; it is a 'hot fragment'. The alpha-amino ketone core is chemically anxious, prone to rapid metabolic N-demethylation and potential reactivity (imine formation). The lack of structural complexity implies low specific binding energy, necessitating high molar doses to achieve efficacy. This 'high dose, low complexity' profile aligns perfectly with the Bio-Advisory's warning of a 'dirty safety profile' (cystitis, hepatotoxicity)—likely driven by the accumulation of reactive metabolites or high-concentration off-target promiscuity. While the CNS MPO is high, the 'Grease Tax' here is paid in safety margins. The 30-point penalty is fully justified; this is a sledgehammer mechanism with a narrow therapeutic window, suitable only as a 'last resort' intervention. Tox Summary: Not Clean (High dose burden + Reactive core).",Low,"Alpha-amino ketone (reactive intermediate risk), Secondary amine (N-demethylation/nitrosation risk)",0.65,"High CNS exposure is guaranteed, but the 'dirty' safety profile and psychotomimetic mechanism create significant Phase 1 tolerability risks.",0.45,"Target engagement is certain, but the therapeutic window is the primary failure mode. Efficacy will battle against dissociation and abuse liability.",0.15,"Commercial viability is severely capped by REMS requirements, abuse scheduling, and the availability of safer, cleaner oral competitors.",0.04,CAUTION,"This molecule is Esketamine (S-Ketamine). While the target (NMDA receptor) is validated for Treatment-Resistant Depression, the biological price of this mechanism is steep. 1) Mechanism-Based Toxicity: NMDA antagonism is inherently psychotomimetic. The therapeutic window between antidepressant efficacy and dissociative/hallucinogenic effects is narrow, necessitating strict REMS (clinic-only administration) which severely limits clinical utility compared to standard oral therapies. 2) Organ Toxicity: Chronic exposure is linked to ulcerative cystitis (bladder toxicity) and potential hepatotoxicity, signaling a dirty safety profile. 3) Abuse Liability: Direct reward pathway activation necessitates Schedule III controls. This is a 'last resort' mechanism, not a first-line therapy."
