compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites,year_clean
Citalopram,SSRI,Serotonin Transporter (SERT),Depression,Approved,1998,,,approved,CNS,,approved_control,Approved controls (success),,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-UHFFFAOYSA-N,2771,OK,42,"A competent isobenzofuran scaffold. The inclusion of a nitrile group is a smart medicinal chemistry move, lowering cLogP compared to halogenated analogs and improving LipE. However, the tertiary amine linked via a flexible propyl chain to a lipophilic core constitutes a classic hERG pharmacophore, raising QT prolongation flags. Furthermore, the structure is presented as a racemate (implied). Developing a racemate means administering 50% 'chemical impurity' that contributes to metabolic load and off-target tox without efficacy. Tox Summary: hERG Risk.",Medium,Tertiary amine-linker-aromatic (hERG pharmacophore),0.7,QT prolongation is the primary safety endpoint to watch. Racemic nature complicates PK/PD.,0.5,"Efficacy is likely, but the therapeutic window may be squeezed by cardiac safety margins.",0.35,Cardiac safety monitoring in large populations could kill the asset.,0.65,,1998.0
Escitalopram,SSRI,Serotonin Transporter (SERT),Depression,Approved,2002,,,approved,CNS,,approved_control,Approved controls (success),,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-FQEVSTJZSA-N,146570,OK,22,"This is the eutomer (active enantiomer) of the previous entry. By isolating the (S)-enantiomer, we effectively double the potency-to-dose ratio and remove the metabolic burden of the inactive isomer. The nitrile/fluorophenyl balance provides excellent CNS penetration without excessive lipophilicity (cLogP ~3.5). The hERG liability remains intrinsic to the pharmacophore (flexible amine linker), but the lower total dose required for the pure enantiomer widens the safety margin significantly. This is an optimized CNS molecule. Tox Summary: Clean (Managed hERG).",Medium,Tertiary amine-linker-aromatic (hERG pharmacophore),0.9,"Clean profile, lower dose than racemate reduces off-target risks.",0.75,High target engagement with optimized LipE.,0.65,"Strong candidate for chronic administration, provided QT interval is monitored.",0.85,,2002.0
Desvenlafaxine,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2008,,,approved,CNS,,approved_control,Approved controls (success),,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,KYYIDSXMWOZKMP-UHFFFAOYSA-N,125017,OK,42,"Structurally identical to the previous entry but with a phenolic hydroxyl instead of a methoxy. While this lowers cLogP (good for solubility), the exposed phenol is a massive liability for first-pass metabolism (glucuronidation/sulfation). This molecule likely suffers from poor oral bioavailability or short half-life compared to its O-methylated counterpart. It represents a 'metabolite' profile rather than a drug candidate.",Low,Phenol (Phase II conjugation magnet),0.7,"Safe, but PK variability due to conjugation will be high.",0.3,Rapid clearance may prevent sustaining therapeutic levels without high doses.,0.1,Commercial viability low due to likely dosing frequency or bioavailability issues.,0.4,,2008.0
Duloxetine,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2004,,,approved,CNS,,approved_control,Approved controls (success),,CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,CNCCCH(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,ZEUITGRIYCTCEM-KRWDZBQOSA-N,60835,OK,68,"High risk profile. The molecule relies heavily on 'grease' for affinity (Naphthalene + Thiophene). Thiophene is a notorious structural alert for bioactivation (S-oxidation, reactive intermediates) leading to idiosyncratic liver toxicity. The combination of a lipophilic aromatic system and a secondary amine separated by a short linker is a classic hERG pharmacophore. While potent, the safety margins will be tight. Tox Summary: Not Clean.",Low,"Thiophene (Bioactivation/MBI), Naphthalene (Epoxidation risk)",0.4,High risk of hERG or liver enzyme elevation in early safety studies.,0.25,"If it survives P1, efficacy is likely, but safety monitoring will be a burden.",0.05,Idiosyncratic toxicity risk (DILI) often kills thiophene drugs in large populations.,0.2,,2004.0
Levomilnacipran,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),,CCN(CC)C(=O)[C@]1(C[C@H]1CN)C2=CC=CC=C2,CCN(CC)C(=O)C1(CCH1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-DZGCQCFKSA-N,6917779,OK,28,"High Ligand Efficiency (LE). The cyclopropane core provides rigidity and 3D character (Fsp3) with minimal molecular weight cost. The diethylamide and primary amine balance the lipophilicity of the phenyl ring perfectly, resulting in a low cLogP ideal for safety. The primary amine is a metabolic soft spot, and cyclopropanes can sometimes be reactive, but generally, this is a highly efficient, developable small molecule.",Medium,"Primary amine, Cyclopropane (minor ring-opening risk)",0.8,Clean chemistry. Low lipophilicity reduces off-target/hERG risks.,0.5,Good brain penetration expected. Short half-life possible due to primary amine/amide hydrolysis.,0.25,Solid candidate for chronic use if PK allows.,0.75,,2013.0
Milnacipran,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2009,,,approved,CNS,,approved_control,Approved controls (success),,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2,CCN(CC)C(=O)C1(CCH1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-HIFRSBDPSA-N,65833,OK,12,"This is a textbook example of High Ligand Efficiency (LE) design for CNS penetration. The cyclopropane core acts as a rigid, non-aromatic spacer that defines the vector between the amide and the amine without the 'Grease Tax' of a phenyl ring. MW < 250 and low TPSA ensure rapid BBB crossing. The diethyl amide is robust, though N-dealkylation is the primary metabolic soft spot. The primary amine (chiral center adjacent) is critical for target engagement but must be monitored for MAO susceptibility. Overall, this is a 'Goldilocks' scaffold: rigid, polar enough, and small. Tox Summary: Clean.",High,None identified (Primary amine requires MAO check),0.85,Clean structural alerts. Low MW reduces off-target probability.,0.55,High target engagement probability due to rigid vector alignment.,0.25,Low toxicity risk profile suggests durability in chronic dosing.,0.92,,2009.0
Mirtazapine,NaSSA,_2_-adrenergic and 5-HT2A/2C/3 receptors,Depression,Approved,1996,,,approved,CNS,,approved_control,Approved controls (success),,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,RONZAEMNMFQXRA-UHFFFAOYSA-N,4205,OK,18,"An elegant, rigidified tetracyclic system. By fusing the rings, the entropic penalty of binding is near zero. The physicochemical properties are ideal for CNS (cLogP ~3, Low TPSA). The structure lacks obvious toxicophores. The N-methyl group is a standard metabolic handle (demethylation), but the core is robust. The only concern is the potential for idiosyncratic toxicity sometimes seen with fused azepines (bone marrow effects), though this specific arrangement looks cleaner than older tricyclics. High LipE candidate. Tox Summary: Clean.",High,"Fused Azepine (Historical class alert for agranulocytosis, though low risk here)",0.8,Solid safety profile expected.,0.5,Rigidity implies high specificity and potency.,0.2,Good commercial viability if sedation is managed.,0.88,,1996.0
Vilazodone,SSRI/5-HT1A partial agonist,SERT and 5-HT1A receptor,Depression,Approved,2011,,,approved,CNS,,approved_control,Approved controls (success),,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,SGEGOXDYSFKCPT-UHFFFAOYSA-N,6918314,OK,65,"A molecular 'Dumbbell' and a hERG nightmare. We have two massive aromatic systems (Cyano-Indole and Benzofuran-Amide) separated by a flexible 4-carbon butyl chain and a basic piperazine. This fits the hERG blockade model perfectly (Two aromatic flanks + central basic amine + flexible spacer). MW is pushing the limit (approx 440), and the rotatable bond count is high ('The Balloon'), leading to poor oral bioavailability and high clearance. The cyano group adds metabolic stability to the indole but increases electrophilicity. This looks like a potency play that ignored developability. Tox Summary: Not Clean (High hERG risk).",Low,"Indole-3-carbonitrile (Michael acceptor potential), 4-carbon linker (Metabolic soft spot)",0.5,High risk of QT prolongation and poor PK.,0.25,Bioavailability issues will plague efficacy trials.,0.08,Complex metabolism and cardiac risk make this a difficult commercial asset.,0.35,,2011.0
Vortioxetine,Multimodal serotonergic,"SERT, 5-HT1A/1B/3/7 receptors",Depression,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,YQNWZWMKLDQSAC-UHFFFAOYSA-N,9966051,OK,28,"This is a highly competent CNS design. The scaffold utilizes an aryl piperazine—a privileged motif for monoaminergic GPCRs—linked via a sulfide bridge to a substituted phenyl ring. 

**Pros:**
1. **Molecular Weight (<300)**: Extremely efficient. Leaves ample room for metabolic optimization if needed.
2. **LipE Profile**: The piperazine provides necessary polarity/basicity to offset the lipophilic biaryl system. cLogP is likely in the 'Goldilocks' zone (3.0-4.0).
3. **Structural Features**: The 2,4-dimethyl substitution on the distal ring creates a twisted conformation, preventing flat aromatic stacking (solubility boost) and blocking specific metabolic sites. 

**Cons/Risks:**
1. **Metabolic Soft Spots**: The benzylic methyl groups are prime targets for CYP-mediated oxidation. The sulfide linker is susceptible to S-oxidation (sulfoxide/sulfone formation), which creates chiral centers and polarity shifts.
2. **Aniline Liability**: The piperazine is attached to an aniline-like nitrogen; while usually stable in tertiary systems, reactive metabolite formation (quinone-imine) is a theoretical risk if the ring is electron-rich.

**Verdict**: High LipE, compact, and drug-like. Superior to the tricyclic comparators in this batch.",Medium,"Benzylic methyls (rapid clearance risk), Sulfide (S-oxidation)",0.85,Clean physicochemical profile suggests good oral bioavailability and manageable safety. Low risk of hard-stop tox.,0.6,Strong target engagement expected for this pharmacophore. Efficacy depends on specific receptor subtype selectivity (5-HT modulation).,0.45,Commercial viability is high if differentiation from generic SSRIs is achieved. Safety profile likely superior to older tricyclics.,0.23,,2013.0
Reboxetine,NRI,Norepinephrine Transporter (NET),Depression,Approved,1997 (UK),,,approved,CNS,,approved_control,Approved controls (success),,CCOC1=CC=CC=C1O[C@@H]([C@H]2CNCCO2)C3=CC=CC=C3,CCOC1=CC=CC=C1OCH(CH2CNCCO2)C3=CC=CC=C3,CBQGYUDMJHNJBX-RTBURBONSA-N,127151,OK,22,"Finally, a molecule that respects modern medicinal chemistry principles. 

1. **Physicochemical Balance**: The use of ether linkages breaks up the lipophilicity, keeping the cLogP in the Goldilocks zone (2-3). 
2. **Scaffold**: The morpholine ring is a privileged scaffold. It constrains the amine (reducing entropy), lowers the pKa slightly compared to acyclic amines (improving permeability/efflux ratio), and reduces hERG risk by altering the pharmacophore geometry.
3. **Chirality**: The defined stereochemistry suggests a specific fit for the target pocket rather than non-specific hydrophobic collapse.
4. **LipE**: Likely high. The potency comes from specific interactions (ether oxygens, defined vectors) rather than just grease.

Tox Summary: Clean.",High,None significant. Ethoxy group is a standard metabolic handle.,0.85,Clean hERG and selectivity profile should allow smooth sailing through Phase 1.,0.6,Good ADME properties increase the probability of adequate target coverage in the brain.,0.4,Strong candidate for approval if the biological hypothesis holds.,0.8,,1997.0
