compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status,year_clean,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V20,P1 Rationale V20,P2 Prob V20,P2 Rationale V20,P3 Prob V20,P3 Rationale V20,TCSP V20
Fluoxetine,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1987,,,approved,CNS,,approved_control,Approved controls (success),CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,3386,OK,1987.0,38,"This molecule is a textbook example of a 'Cationic Amphiphilic Drug' (CAD) designed for CNS penetration, but it carries significant developability baggage. While the physicochemical metrics (MW ~309, TPSA ~21) are perfectly tuned for BBB permeability, the molecule relies heavily on lipophilicity (cLogP > 4.0) to drive affinity. The structural combination of a basic secondary amine (pKa ~9.5) linked via a flexible chain to a hydrophobic diaryl cluster constitutes a glaring hERG pharmacophore, raising immediate QT prolongation flags. Additionally, this CAD profile strongly predicts phospholipidosis and lysosomal trapping in chronic dosing. The secondary amine is a prime site for N-dealkylation and, combined with the lipophilic scaffold, suggests this molecule will likely act as a competitive inhibitor of CYP2D6, creating DDI liabilities. It is a 'dirty' high-exposure molecule rather than a precision tool. Tox Summary: Not Clean (hERG/Phospholipidosis/DDI Risk).",Medium,"Basic secondary amine linked to lipophilic domain (hERG pharmacophore), Cationic Amphiphilic motif (Phospholipidosis risk).",0.7,"Passable for acute dosing, but hERG liability and potential for non-linear PK (due to CYP inhibition/saturation) will complicate dose escalation.",0.5,"CNS exposure is virtually guaranteed given the low TPSA and lipophilic profile. If the target hypothesis holds, efficacy is likely, provided the off-target profile (GPCR promiscuity) is manageable.",0.25,Chronic safety is the primary hurdle. Accumulation issues (phospholipidosis) and drug-drug interaction potential (CYP inhibition) significantly lower the probability of unrestricted commercial success compared to cleaner competitors.,0.0875
Sertraline,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1991,,,approved,CNS,,approved_control,Approved controls (success),CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,VGKDLMBJGBXTGI-SJCJKPOMSA-N,68617,OK,1991.0,38,"This molecule represents 'Old School' CNS medicinal chemistry: elite Molecular Weight (~306 Da) compromised by excessive lipophilicity (cLogP > 5.0). While the Ligand Efficiency is likely high due to the compact scaffold, the physicochemical profile triggers the 'Grease Tax' penalty. The combination of a basic secondary amine (pKa ~9.5) and a highly lipophilic 3,4-dichlorophenyl-tetralin core creates a quintessential Cationic Amphiphilic Drug (CAD). This triggers an immediate structural alert for Phospholipidosis (PLD) and lysosomal trapping (vacuolation risk). The high lipophilicity suggests affinity is driven by the hydrophobic effect rather than specific polar contacts, increasing the risk of off-target promiscuity and hERG blockade. N-demethylation will be the dominant metabolic vector, likely yielding a pharmacologically active and even more persistent metabolite. It is a 'brick' of grease in a small package. Tox Summary: Not Clean (High PLD risk, hERG liability).",Medium,"Cationic Amphiphilic Motif (PLD risk), 3,4-Dichlorophenyl (Lipophilicity/accumulation), Benzylic amine (Metabolic hotspot)",0.75,Small molecule amines generally survive Phase 1 unless hERG is catastrophic. PLD findings in animal tox may complicate but not kill the program at low doses.,0.5,"Excellent BBB penetration is guaranteed by the high cLogP/low TPSA, ensuring target engagement. However, high non-specific binding and potential for side effects limit the therapeutic window.",0.3,Long-term safety is the hurdle. The 'dirty' physchem profile suggests a risk of idiosyncratic toxicity or DILI at chronic dosing (Rule of Two: High LogP + High Dose).,0.6
Paroxetine,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1992,,,approved,CNS,,approved_control,Approved controls (success),C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,AHOUBRCZNHFOSL-YOEHRIQHSA-N,43815,OK,1992.0,78,"Physicochemically, this molecule is a CNS masterpiece. With a MW ~330, cLogP ~3.3, and TPSA ~40, it sits perfectly in the 'Goldilocks' zone for blood-brain barrier penetration. The trans-3,4-disubstituted piperidine scaffold provides a rigid vector for the pharmacophores, likely yielding high LipE. HOWEVER, the inclusion of the 1,3-benzodioxole moiety triggers an immediate 'Hard Kill' alert for Mechanism-Based Inhibition (MBI). The methylene bridge is prone to P450-mediated oxidation to a carbene, leading to irreversible heme chelation and suicide inhibition of the enzyme. Additionally, the secondary amine combined with the lipophilic aromatic wings creates a moderate hERG liability. In a modern campaign, the benzodioxole would be excised immediately for a bioisostere (e.g., difluorobenzodioxole) to mitigate the DDI risk. Excellent potency cannot excuse a guaranteed metabolic liability. Tox Summary: Not Clean (MBI Liability).",Low,"1,3-Benzodioxole (Suicide Inhibitor/MBI), Secondary Piperidine (Promiscuity/hERG)",0.6,"PhysChem properties suggest good oral bioavailability, but MBI markers in preclinical tox will raise significant red flags for DDI studies, complicating the safety package.",0.4,"Brain penetration is assured, driving efficacy, but off-target effects and variable metabolism (due to autoinhibition) complicate dose-finding.",0.1,Commercial viability is severely compromised. The DDI profile resulting from irreversible CYP inhibition renders this inferior to cleaner competitors in a chronic indication.,0.024
Citalopram,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1998,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-UHFFFAOYSA-N,2771,OK,1998.0,72,"Physicochemically, this molecule is a CNS masterpiece: MW ~325, cLogP ~3.7, and TPSA ~36 Å² ensure unrestricted Blood-Brain Barrier penetration. However, under strict 2024 safety auditing, it triggers a 'Hard Kill' alert. The combination of a highly basic dimethylamine (pKa ~9.5), a flexible 3-carbon methylene linker, and a bulky lipophilic quaternary core (fluorophenyl + isobenzofuran) constitutes the textbook pharmacophore for hERG channel blockade. While the nitrile and ether oxygen add polarity, they do not sufficiently mask the hydrophobic bulk presented to the channel. Additionally, the N,N-dimethyl motif guarantees rapid N-demethylation (CYP2D6/2C19), complicating PK with active metabolites. In a modern NCE campaign, this scaffold would be flagged immediately for QT prolongation risk, overriding its elite CNS MPO score. Tox Summary: Not Clean (High hERG Liability).",Medium,"N,N-dimethylaminopropyl chain (hERG Pharmacophore), Benzylic ether (Oxidative liability)",0.2,Probability capped at 20% due to 'Hard Kill' structural alert for hERG inhibition. Phase 1 safety is the primary failure mode for this pharmacophore.,0.4,"If cardiac safety margins are acceptable, the molecule's elite CNS physicochemical properties virtually guarantee target engagement.",0.05,"Commercial viability is capped at 5% due to the high likelihood of a narrow therapeutic index regarding QT prolongation, necessitating heavy monitoring or leading to late-stage attrition.",0.004
Fluvoxamine,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1994,,,approved,CNS,,approved_control,Approved controls (success),COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,CJOFXWAVKWHTFT-XSFVSMFZSA-N,5324346,OK,1994.0,38,"This molecule exhibits a classic 'Old School' CNS profile: low MW (~318) and moderate lipophilicity (cLogP ~3.5) ensuring excellent BBB penetration. However, from a modern medicinal chemistry perspective, it is structurally primitive. The scaffold is excessively flexible, featuring a floppy methoxybutyl tail and an amino-ethoxy tether, which imposes a significant entropic penalty upon binding ('The Balloon' risk relative to size). The pharmacophore—a basic primary amine linked to a lipophilic CF3-phenyl group—is a textbook hERG liability (Redfern Class A). While the trifluoromethyl group effectively blocks para-metabolism, the primary amine is a liability for oxidative deamination (MAO/SSAO) and the terminal methoxy is a site for O-dealkylation. It lacks the rigidity required for high selectivity. Tox Summary: Clean of reactive warheads, but high hERG risk.",Medium,"Primary aliphatic amine (MAO substrate), hERG pharmacophore (Basic center + aromatic tail), flexible alkyl chains (oxidative soft spots).",0.65,"Likely to pass genotox and acute tox due to simple structure, but QT prolongation (hERG) will be the dose-limiting factor.",0.4,"Excellent CNS exposure ensures target engagement (likely transporter/GPCR), but promiscuity due to flexibility may drive adverse event rates.",0.2,"Viable drug candidate, but likely faces competition from more rigid, selective, and metabolically stable 'Best-in-Class' followers.",0.052
Venlafaxine,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,1993,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,PNVNVHUZROJLTJ-UHFFFAOYSA-N,5656,OK,1993.0,15,"This structure is a masterclass in 'Ligand Efficiency' for CNS targets. With a MW < 280 and TPSA ~32 Å², it possesses elite blood-brain barrier permeability properties. The physicochemical profile is nearly ideal: cLogP (~2.8-3.0) sits squarely in the Goldilocks zone, avoiding the 'Grease Tax' while maintaining sufficient affinity. The scaffold efficiently arranges a basic amine (pKa ~9.5), a tertiary alcohol (HBD), and distinct lipophilic vectors (aromatic/aliphatic) without structural bloat. The p-methoxy group acts as a predictable metabolic handle (O-demethylation), likely driving clearance via CYP2D6, though this introduces pharmacogenetic variability risks. The tertiary alcohol is sterically protected and metabolically robust. While the 'Basic Amine + Linker + Aromatic' motif triggers a theoretical hERG alert, the low molecular weight and lack of excessive lipophilicity suggest a wide safety margin compared to greasier analogs. Tox Summary: Clean.",Medium,None,0.85,pristine physicochemical profile and lack of structural alerts (MBI/DILI) suggest high safety. Low MW reduces off-target promiscuity risks.,0.65,Unrestricted CNS access and high free fraction predict excellent target engagement. Efficacy depends only on receptor fit.,0.45,Clean metabolic profile and low toxicity risk favor chronic dosing. Main risk is CYP polymorphism affecting exposure.,0.9
Bupropion,,NDRI,NET and Dopamine Transporter (DAT),Depression,Approved,1985,,,approved,CNS,,approved_control,Approved controls (success),CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,SNPPWIUOZRMYNY-UHFFFAOYSA-N,444,OK,1985.0,18,"This molecule is a 'Blood-Brain Barrier Torpedo'. With a MW < 250, cLogP ~3.3, and TPSA < 30, it possesses elite CNS physicochemical properties. The tert-butyl group provides critical steric bulk, shielding the nitrogen from rapid dealkylation and likely preventing MAO degradation, forcing metabolism towards CYP-mediated hydroxylation of the alkyl group or carbonyl reduction. However, the alpha-aminoketone scaffold (phenacylamine) is a structural alert for sympathomimetic activity and abuse liability (cathinone class). Furthermore, the ketone is a metabolic soft spot, susceptible to rapid reduction by carbonyl reductases, which introduces a new chiral center and creates a complex mixture of active amino-alcohol metabolites. Chemical stability of the free base alpha-aminoketone may be limited. Tox Summary: Clean regarding organ tox, but high risk of CNS overstimulation/seizures.",Medium,Alpha-aminoketone (Cathinone-like scaffold - Abuse Potential/Seizure Risk),0.85,Excellent physicochemical properties suggest high bioavailability and low organ toxicity risk. Main concern is CNS tolerability.,0.6,Strong CNS penetration ensures target engagement. Efficacy depends on the specific monoamine transporter profile.,0.4,"Commercial viability is high, but regulatory scheduling due to structural similarity to stimulants could be a hurdle.",0.2
Mirtazapine,,NaSSA,_2_-adrenergic and 5-HT2A/2C/3 receptors,Depression,Approved,1996,,,approved,CNS,,approved_control,Approved controls (success),CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,RONZAEMNMFQXRA-UHFFFAOYSA-N,4205,OK,1996.0,15,"This molecule is a masterclass in CNS physicochemical property design. With a MW < 300, cLogP ~3.0, and TPSA < 30 Å², it sits squarely in the 'Goldilocks' zone for blood-brain barrier penetration. The rigid tetracyclic scaffold (pyrazino-azepine fused system) pre-organizes the pharmacophore, minimizing entropic penalties upon binding and likely yielding exceptional Ligand Efficiency (LE). However, this specific architecture is a 'privileged scaffold' notorious for GPCR promiscuity (hitting H1, 5-HT, and Adrenergic receptors indiscriminately). While the chemistry is pristine, the biological risk is a lack of selectivity—it is a shotgun, not a sniper rifle. Metabolic liabilities are predictable (N-demethylation of the piperazine, benzylic oxidation), but the low MW allows for a reasonable dose burden. Tox Summary: Clean, but high risk of off-target CNS depression.",Medium,"N-methyl piperazine (N-dealkylation site), Benzylic methylene (Oxidation site)",0.85,Elite physicochemical properties virtually guarantee oral bioavailability and CNS exposure. No structural alerts for acute organ toxicity or suicide inhibition.,0.65,"Target engagement is highly probable. The primary risk in Phase 2 is not efficacy, but the therapeutic window regarding off-target side effects (sedation, hypotension) common to this scaffold class.",0.45,"In a modern regulatory environment, the likely polypharmacology of this scaffold could be a liability for chronic safety (weight gain, metabolic syndrome) compared to cleaner competitors.",0.9
Trazodone,,Serotonin antagonist/reuptake inhibitor,5-HT2A receptor and SERT,Depression,Approved,1981,,,approved,CNS,,approved_control,Approved controls (success),C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,PHLBKPHSAVXXEF-UHFFFAOYSA-N,5533,OK,1981.0,62,"This molecule presents a paradox: Elite physicochemical properties (CNS MPO) marred by structural liabilities that scream 'Safety Attrition'. 

1. **Physicochemicals**: The metrics are seductive. MW < 400, cLogP ~3.0, and TPSA ~60 Å² place this squarely in the 'Goldilocks Zone' for CNS penetration. It will cross the BBB effortlessly.

2. **The hERG Trap**: The structure contains a textbook hERG pharmacophore: a basic nitrogen (piperazine) connected by a 3-carbon lipophilic linker to a planar aromatic heterocycle (triazolopyridinone-like system). In an NCE evaluation, this is a massive red flag for QT prolongation.

3. **The 'Promiscuity Grenade'**: The 4-chlorophenylpiperazine moiety is a notorious 'privileged structure' for GPCRs, but in the worst way. It indiscriminately hits 5-HT, Dopamine, and Alpha-1 adrenergic receptors. Achieving selectivity over Alpha-1 (hypotension risk) will be the primary medicinal chemistry struggle.

4. **Metabolic Liability**: The propyl linker is a prime site for oxidative N-dealkylation. This will cleave the molecule, releasing the 4-chlorophenylpiperazine fragment. Unlike its meta-isomer, the para-chlorophenylpiperazine (pCPP) is a known serotonin releasing agent with potential psychotomimetic properties or abuse liability. This 'active metabolite' risk significantly degrades the safety profile.

**Tox Summary**: Not Clean. High risk of hERG inhibition and off-target cardiovascular effects (Alpha-1 blockade).",Medium,"4-chlorophenylpiperazine (Bioactive/Psychotomimetic metabolite), Propyl-linked basic amine (hERG pharmacophore), Fused triazolopyridinone (potential idiosyncratic toxicity).",0.6,"Physicochemical properties favor good PK, but hERG liability and potential for orthostatic hypotension (Alpha-1 off-target) pose significant safety hurdles in healthy volunteers.",0.3,"Efficacy depends on a precise balance of polypharmacology. The para-substitution may alter the receptor binding vector unfavorably compared to established analogs, potentially turning an antagonist into an agonist or losing potency at the primary target.",0.1,Long-term safety is compromised by the 'dirty' receptor profile and the accumulation of the bioactive pCPP metabolite.,0.18
Amitriptyline,,TCA,SERT and NET,Depression,Approved,1961,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,KRMDCWKBEZIMAB-UHFFFAOYSA-N,2160,OK,1961.0,78,"This molecule represents a 'pharmacological sledgehammer'—a highly lipophilic, tricyclic scaffold tethered to a basic amine. 1) Lipophilicity (Grease Tax): The cLogP is estimated > 5.0, violating the Golden Rule of LipE. The addition of a 3-carbon bridge to the diaryl core creates a floppy, hydrophobic 'bucket' that will drive non-specific binding. 2) hERG Liability: The structure is a textbook Class III antiarrhythmic pharmacophore: a basic center (pKa ~9.5) linked by a spacer to a massive hydrophobic cluster. This is a 'Hard Kill' alert for QT prolongation. 3) TPSA: With a TPSA of ~3 Å² (tertiary amine only), this molecule is effectively 'brain grease.' While BBB penetration will be 100%, it will suffer from extreme Volume of Distribution (Vd) and phospholipidosis risks (cationic amphiphile). 4) Selectivity: The lack of specific polar handles suggests this will be a 'dirty' drug, promiscuously hitting GPCRs (Histamine, Muscarinic, Adrenergic) alongside any intended target. Tox Summary: Not Clean.",Medium,"hERG Pharmacophore (Basic amine + Linker + Lipophilic Core), Cationic Amphiphile (Phospholipidosis risk), Benzylic positions (Oxidation prone).",0.2,High probability of hERG channel blockade and anticholinergic side effects limiting the Maximum Tolerated Dose (MTD).,0.3,"The scaffold is privileged for CNS targets (likely efficacious), but the 'dirty' profile will confound efficacy signals with tolerability issues.",0.05,"Commercial viability is near zero against modern, selective agents. Safety profile would likely require Black Box warnings.",0.003
