compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites
Fluoxetine,SSRI,Serotonin Transporter (SERT),Depression,Approved,1987,,,approved,CNS,,approved_control,Approved controls (success),,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,3386,OK,38,"A classic 'grease ball' CNS scaffold. The molecule relies heavily on lipophilicity (cLogP > 4.0) for affinity, driven by the trifluoromethyl and phenyl ether moieties. While the secondary amine provides a necessary ionization center for solubility and target engagement, the lack of polar surface area elsewhere suggests high volume of distribution and potential for phospholipidosis. The CF3 group blocks metabolic clearance on the distal ring, likely forcing metabolism to the N-methyl or the linker, resulting in a long half-life but high systemic exposure. It passes the CNS filter but pays a heavy 'Grease Tax'. Tox Summary: Clean but Greasy.",High,None (High Lipophilicity is the main risk),0.85,"Standard CNS amine profile. Likely well-tolerated in short term, though long half-life may complicate dosing.",0.6,"High lipophilicity ensures brain penetration, but non-specific binding may erode efficacy margins.",0.4,Chronic accumulation and phospholipidosis risks are elevated due to physicochemical properties.,0.75,
Sertraline,SSRI,Serotonin Transporter (SERT),Depression,Approved,1991,,,approved,CNS,,approved_control,Approved controls (success),,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,CNCH1CCCH(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,VGKDLMBJGBXTGI-SJCJKPOMSA-N,68617,OK,45,"This molecule pushes the boundaries of the 'Rule of 5' regarding lipophilicity. The combination of a dichlorophenyl ring and a fused tetralin system creates a very hydrophobic core (cLogP likely > 5.0). While the rigid scaffold (tetralin) is excellent for entropic pre-organization, the molecule triggers the 'Rule of Two' (High LogP + Low TPSA), flagging it for DILI risk and transporter saturation. The secondary amine is the only polar handle. It is a potent binder but a metabolic brick. Tox Summary: DILI Risk.",Medium,"3,4-Dichlorophenyl (Lipophilic bulk)",0.75,Safety concerns revolve around hepatic load and potential for QT prolongation due to lipophilic cationic nature.,0.55,"Strong potency expected, but high protein binding may limit free fraction in the CNS.",0.3,High attrition risk in chronic dosing due to liver safety signals associated with such lipophilic amines.,0.6,
Paroxetine,SSRI,Serotonin Transporter (SERT),Depression,Approved,1992,,,approved,CNS,,approved_control,Approved controls (success),,C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,C1CNCCH(CH1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,AHOUBRCZNHFOSL-YOEHRIQHSA-N,43815,OK,72,"HARD KILL ALERT. The presence of the benzodioxole (methylenedioxybenzene) moiety is a non-starter for a high-fidelity candidate. This motif is a known precursor to carbene formation at the CYP450 heme iron, leading to irreversible Mechanism-Based Inhibition (MBI/Suicide Inhibition). While the piperidine scaffold and fluorophenyl group are standard CNS fare, the DDI (Drug-Drug Interaction) liability introduced by the benzodioxole is unacceptable in modern drug design. This is a 'dirty' drug by chemical standards. Tox Summary: Not Clean (MBI).",Low,Benzodioxole (Suicide Inhibitor),0.4,High risk of failing Phase 1 due to CYP inhibition data or DDI studies.,0.3,"Even if safe, the DDI profile limits co-medication, shrinking the market.",0.1,Commercial viability is severely hampered by the suicide inhibition mechanism.,0.25,
Citalopram,SSRI,Serotonin Transporter (SERT),Depression,Approved,1998,,,approved,CNS,,approved_control,Approved controls (success),,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-UHFFFAOYSA-N,2771,OK,42,"A competent isobenzofuran scaffold. The inclusion of a nitrile group is a smart medicinal chemistry move, lowering cLogP compared to halogenated analogs and improving LipE. However, the tertiary amine linked via a flexible propyl chain to a lipophilic core constitutes a classic hERG pharmacophore, raising QT prolongation flags. Furthermore, the structure is presented as a racemate (implied). Developing a racemate means administering 50% 'chemical impurity' that contributes to metabolic load and off-target tox without efficacy. Tox Summary: hERG Risk.",Medium,Tertiary amine-linker-aromatic (hERG pharmacophore),0.7,QT prolongation is the primary safety endpoint to watch. Racemic nature complicates PK/PD.,0.5,"Efficacy is likely, but the therapeutic window may be squeezed by cardiac safety margins.",0.35,Cardiac safety monitoring in large populations could kill the asset.,0.65,
Escitalopram,SSRI,Serotonin Transporter (SERT),Depression,Approved,2002,,,approved,CNS,,approved_control,Approved controls (success),,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-FQEVSTJZSA-N,146570,OK,22,"This is the eutomer (active enantiomer) of the previous entry. By isolating the (S)-enantiomer, we effectively double the potency-to-dose ratio and remove the metabolic burden of the inactive isomer. The nitrile/fluorophenyl balance provides excellent CNS penetration without excessive lipophilicity (cLogP ~3.5). The hERG liability remains intrinsic to the pharmacophore (flexible amine linker), but the lower total dose required for the pure enantiomer widens the safety margin significantly. This is an optimized CNS molecule. Tox Summary: Clean (Managed hERG).",Medium,Tertiary amine-linker-aromatic (hERG pharmacophore),0.9,"Clean profile, lower dose than racemate reduces off-target risks.",0.75,High target engagement with optimized LipE.,0.65,"Strong candidate for chronic administration, provided QT interval is monitored.",0.85,
Fluvoxamine,SSRI,Serotonin Transporter (SERT),Depression,Approved,1994,,,approved,CNS,,approved_control,Approved controls (success),,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,CJOFXWAVKWHTFT-XSFVSMFZSA-N,5324346,OK,38,"Physicochemical properties are well-aligned for CNS penetration (cLogP ~3.5, TPSA ~60). The trifluoromethyl group provides excellent metabolic stability at the para-position. However, the linear aliphatic ether chain introduces significant rotatable bonds (entropic penalty), and the primary amine is a likely site for MAO-mediated metabolism. The oxime ether linkage is generally stable but adds structural complexity. Solid lead, but the flexible tail suggests 'floppy' binding.",Medium,"Primary amine (MAO substrate), Oxime ether (potential hydrolysis)",0.75,Clean tox profile expected; CF3 is robust. Primary amine clearance is the main variable.,0.45,Good CNS exposure likely. Efficacy depends on whether the flexible chain creates sufficient residence time.,0.2,Standard CNS attrition risks apply.,0.65,
Venlafaxine,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,1993,,,approved,CNS,,approved_control,Approved controls (success),,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,PNVNVHUZROJLTJ-UHFFFAOYSA-N,5656,OK,18,Elite CNS scaffold. The combination of a cyclohexanol core (sp3 richness) with a dimethylamino side chain hits the 'Goldilocks' zone for cLogP (2.5-3.0) and MW (<300). The tertiary alcohol provides a polar anchor without being a conjugation magnet like a phenol. The methoxy group protects the aromatic ring from rapid Phase II metabolism while maintaining lipophilicity. Minimal structural alerts. This is what a CNS drug should look like.,High,None (Benzylic position is sterically crowded),0.85,Low toxicity risk. High solubility and permeability.,0.6,Excellent ADME properties suggest high probability of target engagement.,0.35,Clean metabolic profile supports chronic dosing safety.,0.9,
Desvenlafaxine,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2008,,,approved,CNS,,approved_control,Approved controls (success),,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,KYYIDSXMWOZKMP-UHFFFAOYSA-N,125017,OK,42,"Structurally identical to the previous entry but with a phenolic hydroxyl instead of a methoxy. While this lowers cLogP (good for solubility), the exposed phenol is a massive liability for first-pass metabolism (glucuronidation/sulfation). This molecule likely suffers from poor oral bioavailability or short half-life compared to its O-methylated counterpart. It represents a 'metabolite' profile rather than a drug candidate.",Low,Phenol (Phase II conjugation magnet),0.7,"Safe, but PK variability due to conjugation will be high.",0.3,Rapid clearance may prevent sustaining therapeutic levels without high doses.,0.1,Commercial viability low due to likely dosing frequency or bioavailability issues.,0.4,
Duloxetine,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2004,,,approved,CNS,,approved_control,Approved controls (success),,CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,CNCCCH(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,ZEUITGRIYCTCEM-KRWDZBQOSA-N,60835,OK,68,"High risk profile. The molecule relies heavily on 'grease' for affinity (Naphthalene + Thiophene). Thiophene is a notorious structural alert for bioactivation (S-oxidation, reactive intermediates) leading to idiosyncratic liver toxicity. The combination of a lipophilic aromatic system and a secondary amine separated by a short linker is a classic hERG pharmacophore. While potent, the safety margins will be tight. Tox Summary: Not Clean.",Low,"Thiophene (Bioactivation/MBI), Naphthalene (Epoxidation risk)",0.4,High risk of hERG or liver enzyme elevation in early safety studies.,0.25,"If it survives P1, efficacy is likely, but safety monitoring will be a burden.",0.05,Idiosyncratic toxicity risk (DILI) often kills thiophene drugs in large populations.,0.2,
Levomilnacipran,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),,CCN(CC)C(=O)[C@]1(C[C@H]1CN)C2=CC=CC=C2,CCN(CC)C(=O)C1(CCH1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-DZGCQCFKSA-N,6917779,OK,28,"High Ligand Efficiency (LE). The cyclopropane core provides rigidity and 3D character (Fsp3) with minimal molecular weight cost. The diethylamide and primary amine balance the lipophilicity of the phenyl ring perfectly, resulting in a low cLogP ideal for safety. The primary amine is a metabolic soft spot, and cyclopropanes can sometimes be reactive, but generally, this is a highly efficient, developable small molecule.",Medium,"Primary amine, Cyclopropane (minor ring-opening risk)",0.8,Clean chemistry. Low lipophilicity reduces off-target/hERG risks.,0.5,Good brain penetration expected. Short half-life possible due to primary amine/amide hydrolysis.,0.25,Solid candidate for chronic use if PK allows.,0.75,
