compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status,year_clean,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V20,P1 Rationale V20,P2 Prob V20,P2 Rationale V20,P3 Prob V20,P3 Rationale V20,TCSP V20
Escitalopram,,SSRI,Serotonin Transporter (SERT),Depression,Approved,2002,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-FQEVSTJZSA-N,146570,OK,2002.0,38,"Physicochemically, this molecule is a CNS masterpiece. With a MW ~325, cLogP ~3.5, and TPSA < 40, it sits perfectly within the 'Golden Triangle' for blood-brain barrier penetration. The quaternary carbon is a brilliant design element, reducing conformational entropy and blocking benzylic oxidation, while the para-fluorine shields the pendant phenyl ring from metabolic attack. However, the structure carries a significant liability: the N,N-dimethylaminopropyl chain linked to an aromatic core is a textbook hERG pharmacophore. While the polarity of the nitrile and cyclic ether prevents this from triggering a 'Hard Kill' (Score > 70) by modulating the hydrophobicity of the aromatic cluster, the QT prolongation risk is the dominant safety concern. This is a high-LipE candidate that requires immediate patch-clamp de-risking. Tox Summary: Not Clean (hERG Liability).",High,"N,N-dimethylaminopropyl chain (hERG pharmacophore), Nitrile (low risk, but potential hydrolysis)",0.6,"Physicochemical properties favor excellent oral bioavailability and CNS exposure, but the hERG pharmacophore presents a substantial risk of QT prolongation in safety pharmacology, reducing P1 success probability.",0.55,"If cardiac safety margins are acceptable, the molecule's elite CNS MPO score suggests high target engagement and favorable ADME in humans.",0.25,Commercial viability depends on the safety window versus competitors. The hERG liability could result in dose-capping or labeling restrictions.,0.08
Desvenlafaxine,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2008,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,KYYIDSXMWOZKMP-UHFFFAOYSA-N,125017,OK,2008.0,22,"This molecule is a masterclass in Ligand Efficiency (MW ~263) and CNS safety, but it carries a distinct pharmacokinetic liability. The structure features a 'naked' phenol, which acts as a massive sponge for Phase II conjugation (Glucuronidation/Sulfation), guaranteeing high clearance and short half-life unless formulated aggressively. However, the physicochemical profile is elite: cLogP is exceptionally low (< 1.0), minimizing phospholipidosis, DILI, and off-target promiscuity risks often seen in greasier CNS agents. The tertiary amine and cyclohexanol motif provide a classic monoamine transporter pharmacophore without the 'Grease Tax'. While the metabolic stability is compromised by the phenol, the safety profile is pristine. It looks like a metabolite of a better-optimized drug, but sometimes the metabolite is the safer drug. Tox Summary: Clean.",Low (Phase II dominant),None,0.92,"Pristine safety profile. Low lipophilicity, no structural alerts, and small MW virtually eliminate off-target toxicity and hERG risks.",0.65,Mechanism (likely monoamine reuptake) is well-validated for this scaffold. The main risk is PK (short half-life) affecting efficacy maintenance.,0.45,High commercial viability if PK issues (Phase II clearance) are managed via extended-release formulation. Safety profile supports chronic dosing.,0.88
Duloxetine,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2004,,,approved,CNS,,approved_control,Approved controls (success),CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,ZEUITGRIYCTCEM-KRWDZBQOSA-N,60835,OK,2004.0,48,"This molecule represents a classic 'high-risk, high-reward' CNS scaffold that violates several modern safety-by-design principles. While the physicochemical properties (MW ~297, low TPSA) are perfectly tuned for Blood-Brain Barrier penetration, the structural composition is alarming. 1) **The Thiophene Alert**: The inclusion of a thiophene ring is a major liability for bioactivation. Thiophenes are prone to S-oxidation, leading to reactive metabolites that can cause Mechanism-Based Inhibition (MBI) of CYPs and idiosyncratic toxicity. 2) **hERG Pharmacophore**: The molecule features a basic secondary amine linked by a 3-carbon spacer to a heavy lipophilic cluster (Naphthalene + Thiophene). This is a canonical Class I hERG pharmacophore, flagging a high risk for QT prolongation. 3) **Lipophilicity/Selectivity**: The Naphthalene ring acts as a 'grease slab,' driving potency through non-specific hydrophobic interactions rather than specific vectors, likely resulting in a promiscuous profile (dirty CNS drug). Tox Summary: Not Clean.",Low,"Thiophene (S-oxidation/MBI risk), Naphthalene (Arene oxide formation), Basic Amine-Linker-Aromatic motif (hERG).",0.55,"High probability of hERG signals or transaminase elevations due to thiophene bioactivation, threatening early safety termination.",0.45,"The scaffold is likely potent against monoamine transporters, but 'off-target' CNS side effects (due to promiscuity) may limit the therapeutic window.",0.2,Chronic safety is the primary failure mode here; idiosyncratic DILI risks from the thiophene and cardiovascular risks from hERG make this a fragile commercial asset.,0.05
Levomilnacipran,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),CCN(CC)C(=O)[C@]1(C[C@H]1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-DZGCQCFKSA-N,6917779,OK,2013.0,12,"This molecule represents a masterclass in CNS physicochemical design (CNS MPO Score ~6.0). With a Molecular Weight < 250 and cLogP ~1.8, it resides firmly in the 'Goldilocks' zone for blood-brain barrier penetration, avoiding the 'Grease Tax' entirely. The cyclopropane core serves as an exceptional rigid scaffold, vectoring the phenyl and amine pharmacophores with minimal entropic penalty compared to flexible alkyl linkers, thereby maximizing Ligand Efficiency (LE). The gem-disubstitution at the quaternary center sterically protects the benzylic position from rapid metabolic oxidation. The primary amine mimics the arylethylamine pharmacophore (suggesting monoamine transporter or GPCR activity) but introduces a liability for oxidative deamination (MAO/SSAO). However, the low lipophilicity significantly mitigates risks of phospholipidosis and hERG inhibition often associated with cationic amphiphiles. This is a high-fidelity 'Lead' structure with minimal developability friction. Tox Summary: Clean.",Medium,"Primary amine (MAO substrate potential), Diethylamide (N-dealkylation soft spot)",0.85,"Pristine physicochemical properties and lack of structural alerts (nitro, aniline, Michael acceptors) suggest a clean safety profile. Low cLogP minimizes off-target promiscuity.",0.45,Excellent predicted CNS exposure and high ligand efficiency imply robust target engagement. The rigid scaffold likely improves selectivity.,0.25,Low molecular weight and hydrophilicity reduce the likelihood of DILI and idiosyncratic toxicity. Main risk is short half-life requiring frequent dosing.,0.096
Milnacipran,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2009,,,approved,CNS,,approved_control,Approved controls (success),CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-HIFRSBDPSA-N,65833,OK,2009.0,18,"This structure is a masterclass in CNS 'Lead-Likeness'. The rigid cyclopropane core locks the pharmacophores (aromatic ring and basic amine) into a precise vector, minimizing the entropic penalty of binding without adding molecular weight bloat. With a MW of ~246 and cLogP ~2.0, this molecule sits perfectly in the 'Goldilocks Zone' for blood-brain barrier penetration. The primary amine and unsubstituted phenyl ring suggest potential metabolic liabilities (MAO susceptibility, para-hydroxylation, N-dealkylation of the amide), which could limit half-life, but the low lipophilicity suggests high unbound fraction (Fu). The cyclopropylmethylamine motif avoids the direct suicide inhibition mechanism seen in cyclopropylamines (e.g., tranylcypromine), but MBI screening is still mandatory due to ring strain. An elite, highly efficient scaffold.",Medium,"Cyclopropane ring (theoretical radical clock/MBI risk), Primary amine (MAO substrate potential)",0.85,Clean structural alerts. Low MW and low lipophilicity minimize off-target toxicity and hERG risk (insufficient linker length/hydrophobicity to span the pore).,0.5,"High probability of target engagement in CNS. Main risk is PK (clearance) requiring frequent dosing, or lack of selectivity due to the small, featureless pharmacophore.",0.25,"If PK allows for QD/BID dosing, the safety profile is likely benign. Commercial viability depends on differentiation from existing monoamine transporter modulators.",0.106
Vilazodone,,SSRI/5-HT1A partial agonist,SERT and 5-HT1A receptor,Depression,Approved,2011,,,approved,CNS,,approved_control,Approved controls (success),C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,SGEGOXDYSFKCPT-UHFFFAOYSA-N,6918314,OK,2011.0,72,"This molecule represents a classic 'Greasy Dumbbell' architecture—a bitopic ligand design often used to span large GPCR binding pockets (e.g., 5-HT, Dopamine), but which carries significant developability liabilities. The structure contains a textbook hERG pharmacophore: a basic piperazine nitrogen connected via a flexible, lipophilic pentyl tether to a hydrophobic aromatic tail (indole). This specific topology (Basic Center + >3 Carbon Linker + Aromatic Moiety) is a high-confidence alert for QT prolongation. 

From a metabolic standpoint, the 5-carbon alkyl chain serves as a 'metabolic fuse,' presenting a large cross-section for CYP450 omega/omega-1 hydroxylation, which will likely drive high hepatic clearance and limit oral bioavailability. The physicochemical profile is suboptimal for a CNS agent: the combination of a cLogP likely >4.0, MW pushing 460, and a TPSA near the 90 Å² limit suggests poor blood-brain barrier permeability, likely exacerbated by P-gp efflux or high non-specific binding (low free fraction). While the nitrile and primary amide provide polar anchors, they fail to compensate for the lipophilic bulk of the core. This is a molecule driven by hydrophobic affinity rather than efficiency. Tox Summary: Not Clean (hERG & Metabolic Liability).",Low,"Pentyl linker (Rapid CYP oxidation), Basic N-alkyl piperazine (hERG/Phospholipidosis risk), Indole core (potential for electrophilic bioactivation if oxidized).",0.55,Progression is heavily threatened by cardiovascular safety signals (hERG) and potentially prohibitive pharmacokinetics (high clearance) requiring high doses.,0.25,Efficacy in CNS indications will be compromised by poor brain penetration (low LipE) and short half-life due to linker metabolism.,0.1,"Commercial viability is low; this profile suggests a 'dirty' drug requiring safety monitoring or frequent dosing, unlikely to survive against cleaner competitors.",0.14
Vortioxetine,,Multimodal serotonergic,"SERT, 5-HT1A/1B/3/7 receptors",Depression,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,YQNWZWMKLDQSAC-UHFFFAOYSA-N,9966051,OK,2013.0,22,"This molecule is a paradoxical 'Greasy Rock'. On one hand, the MW (<300) is elite, offering immense 'Developability Credit' and ensuring high CNS penetration (low TPSA). On the other, the cLogP is pushing 4.5-5.0, which is dangerously high for such a small fragment—this is 'dense grease'. The central thioether is a major metabolic liability, susceptible to rapid S-oxidation (sulfoxide/sulfone), while the 2,4-dimethyl motif invites aggressive benzylic hydroxylation. However, the ortho-substitution pattern is a clever medicinal chemistry tactic: it forces a twisted conformation that likely disrupts the linear pharmacophore required for hERG toxicity, mitigating the risk usually associated with basic lipophiles. If potency is high (nM), the LipE will be acceptable, but the metabolic clearance prediction is the primary attrition risk. Tox Summary: Clean, but metabolically vulnerable.",Low,"Thioether linker (Redox liability), Benzylic methyls (Rapid CYP clearance), Secondary amine (Nitrosamine risk in synthesis/formulation)",0.85,"Structure is devoid of 'Hard Kill' toxophores (anilines, hydrazines, Michaels). High lipophilicity may drive volume of distribution, but hERG risk is mitigated by steric twist.",0.6,Excellent CNS MPO profile (MW/TPSA) guarantees brain exposure. Success depends strictly on whether the 'dense grease' translates to specific binding vs. non-specific adsorption.,0.45,Commercial viability is high if the metabolic profile (S-oxidation vs. Methyl-hydroxylation) doesn't result in complex active metabolites or high inter-patient variability.,0.23
Agomelatine,,Melatonin agonist,MT1/MT2 and 5-HT2C receptors,Depression,Approved,2009 (EU),,,approved,CNS,,approved_control,Approved controls (success),CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,YJYPHIXNFHFHND-UHFFFAOYSA-N,82148,OK,2009.0,32,"This molecule exhibits 'Elite' physicochemical properties for a CNS agent. With a MW ~243 and TPSA ~38, it possesses near-perfect blood-brain barrier permeability characteristics. The cLogP (~2.8) sits squarely in the Goldilocks zone, suggesting high Lipophilic Efficiency (LipE) if potency is nanomolar. The neutral acetamide tail eliminates hERG liability associated with basic amines. HOWEVER, the naphthalene scaffold is a double-edged sword. While it provides the necessary lipophilic bulk for receptor binding, naphthalenes are structurally alerted for CYP-mediated bioactivation (epoxidation to arene oxides or quinones), posing a significant risk of Idiosyncratic Drug-Induced Liver Injury (DILI). The lack of blocking groups on the electron-rich naphthalene ring invites rapid metabolic clearance (CYP1A2), likely resulting in a short half-life and high first-pass effect. Tox Summary: Clean hERG, but High DILI Risk.",Low,"Naphthalene ring (Arene oxide/Quinone formation risk), Unblocked electron-rich aromatic positions",0.85,"Low acute toxicity risk. No hERG pharmacophore. Excellent permeability suggests good oral absorption, though bioavailability may be limited by extraction.",0.6,"Target engagement in the CNS is highly probable due to excellent MPO score. However, short half-life due to metabolic instability of the naphthalene core may limit efficacy or require inconvenient dosing.",0.35,"The structural alert for reactive metabolites (naphthalene epoxidation) creates a substantial risk for liver enzyme elevations (transaminitis) in chronic dosing, threatening approval or necessitating black-box monitoring.",0.18
Selegiline,,MAO-B inhibitor,Monoamine Oxidase B (MAO-B),Parkinson/Depression,Approved,2006,,,approved,CNS,,approved_control,Approved controls (success),C[C@H](CC1=CC=CC=C1)N(C)CC#C,MEZLKOACVSPNER-GFCCVEGCSA-N,26757,OK,2006.0,78,"This molecule is a 'CNS Torpedo' (MW < 200, cLogP ~3) designed for unrestricted blood-brain barrier crossing, but it triggers a critical 'Hard Kill' alert: the N-propargyl amine. This motif is a textbook Mechanism-Based Inhibitor (MBI) 'warhead' (terminal acetylene) prone to metabolic activation, leading to irreversible covalent modification of enzymes (CYPs/MAO) and heme destruction. Furthermore, the scaffold acts as a metabolic prodrug: N-dealkylation will unmask a primary/secondary phenethylamine (Amphetamine class), introducing severe cardiovascular, psychiatric, and abuse liabilities. While Ligand Efficiency is theoretically high due to the low MW, the safety profile is dominated by reactive metabolites and off-target sympathomimetic pharmacology. Tox Summary: Not Clean.",Low,"Terminal Acetylene (MBI Warhead), Phenethylamine backbone (Sympathomimetic/Abuse Liability)",0.2,Hard Kill Cap (20%): Presence of a known suicide inhibitor motif (Acetylene) and metabolic generation of scheduled psychostimulants creates unacceptable Phase 1 safety risks.,0.3,"While CNS exposure is guaranteed, the 'dirty' pharmacology of the metabolites and potential for non-specific covalent binding lowers the probability of a clean efficacy signal.",0.05,Hard Kill Cap (5%): Chronic administration of a suicide substrate with abuse potential is a regulatory dead-end for most indications.,0.003
Esketamine,,NDMA antagonist,NMDA receptor,Depression,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),CN[C@@]1(CCCCC1=O)C2=CC=CC=C2Cl,YQEZLKZALYSWHR-ZDUSSCGKSA-N,182137,OK,2019.0,22,"This molecule is a physicochemical masterpiece for CNS penetration, effectively a 'CNS Bullet'. With a MW < 250, cLogP ~3.0, and TPSA < 30, it possesses elite permeability and will cross the Blood-Brain Barrier with zero resistance. The ortho-chloro substitution provides necessary conformational restriction (atropisomerism-like twist) to lock the phenyl ring relative to the cyclohexanone, enhancing potency. However, the molecule is essentially a 'decorated fragment'. Its low molecular complexity and lack of specific selectivity-enforcing vectors suggest a high risk of promiscuity across GPCRs, transporters, and ion channels (NMDA/Sigma/MAT). While LipE is likely excellent, the alpha-aminoketone motif is metabolically labile (rapid N-demethylation and reduction), predicting a short half-life. The primary risks are not structural toxicity, but functional CNS adverse events (psychotomimetic effects) and abuse liability inherent to small, lipophilic arylcyclohexylamines. Tox Summary: Clean structure, but high functional CNS risk.",Low,"None (Clean structural alerts, though alpha-aminoketone is reactive)",0.75,"Physically safe with low risk of organ toxicity (DILI/QTc), but CNS-mediated adverse events (dizziness, dissociation) will likely define the Maximum Tolerated Dose.",0.55,"Target engagement in the brain is guaranteed due to elite exposure. Efficacy is highly probable, but the therapeutic window against CNS side effects will be the key attrition risk.",0.25,Commercial viability is severely hampered by the high probability of abuse liability (Scheduling) and psychotomimetic baggage associated with this scaffold class.,0.1
